timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
600;-299.806;-275.1;-367.748;5.077;-316.232;-437.098;-294.315;-115.322;-236.164;-211.105;-358.321;-162.277;-183.781;-125.158;-165.238
610;-288.716;-267.521;-354.666;14.985;-305.68;-419.402;-285.653;-112.058;-233.077;-190.72;-332.649;-139.958;-173.805;-118.61;-156.61
620;-278.573;-261.467;-344.107;22.987;-296.613;-403.973;-276.68;-109.48;-230.947;-174.72;-308.04;-120.627;-161.44;-112.04;-149.187
630;-268.516;-255.974;-334.036;30.803;-284.161;-388.786;-269.454;-108.424;-229.599;-159.02;-286.664;-103.227;-150.586;-105.25;-142.059
640;-257.832;-251.479;-326.005;37.538;-273.091;-373.736;-261.841;-107.718;-229.134;-145.426;-267.767;-87.845;-141.102;-99.278;-134.684
650;-247.692;-247.816;-319.487;44.098;-257.923;-360.547;-255.496;-107.517;-228.325;-132.141;-250.795;-77.504;-133.372;-93.778;-128.167
660;-239.877;-244.248;-312.539;49.385;-240.566;-346.281;-251.17;-107.726;-227.947;-116.975;-234.306;-68.257;-127.051;-89.386;-121.921
670;-232.9;-240.587;-305.188;50.85;-225.025;-333.412;-247.463;-108.1;-226.025;-103.662;-219.762;-59.712;-121.425;-83.587;-118.275
680;-227.362;-237.06;-297.326;57.166;-209.73;-319.097;-244.162;-108.035;-224.317;-91.981;-205.621;-52.023;-116.905;-78.37;-115.145
690;-222.624;-234.171;-289.213;63.455;-195.259;-306.031;-240.972;-108.108;-222.788;-83.15;-193.889;-47.416;-111.075;-74.218;-112.36
700;-219.358;-231.961;-282.309;69.178;-178.859;-292.66;-237.893;-106.642;-221.454;-75.74;-183.271;-43.248;-106.067;-70.367;-109.696
710;-216.637;-229.756;-276.429;71.738;-163.738;-280.238;-235.238;-106.506;-221.435;-69.071;-175.065;-39.262;-101.018;-66.887;-107.298
720;-212.927;-227.595;-270.473;75.72;-148.146;-268.48;-232.821;-106.546;-222.252;-62.696;-167.708;-35.584;-96.642;-63.922;-105.125
730;-184.385;-207.278;-246.973;93.282;-119.86;-242.66;-219.595;-101.969;-211.703;-26.275;-138.589;0.542;-87.117;-56.488;-96.737
740;-157.486;-187.719;-227.065;110.347;-87.103;-216.769;-206.219;-97.324;-201.102;10.063;-109.365;36.642;-78.038;-48.713;-88.273
750;-139.823;-176.918;-207.211;121.391;-56.081;-189.629;-191.99;-91.899;-192.961;31.742;-80.427;72.252;-69.124;-40.822;-79.799
760;-126.649;-169.034;-186.92;126.572;-25.187;-162.503;-178.979;-89.568;-184.754;46.133;-49.958;80.267;-60.155;-32.56;-71.31
770;-119.922;-163.498;-171.587;128.856;-1.418;-138.311;-164.518;-86.413;-181.336;60.304;-26.733;85.78;-51.138;-24.498;-63.402
780;-111.932;-159.515;-159.89;131.172;22.351;-114.123;-153.112;-84.887;-177.86;68.161;-3.686;87.589;-41.856;-16.965;-54.718
790;-106.765;-154.154;-150.851;132.268;48.836;-87.767;-141.827;-83.303;-176.076;75.017;9.975;89.058;-32.041;-9.908;-46.029
800;-103.106;-151.007;-142.304;133.49;75.085;-59.291;-134.68;-82.365;-174.243;80.653;17.855;86.754;-22.267;-4.931;-36.638
810;-99.147;-150.118;-132.983;131.943;100.657;-33.776;-127.411;-82.335;-172.295;84.997;25.403;84.362;-12.378;0.488;-31.087
