timepoints (min);46: wc-2-.2;47: wc-2-.3
1080;-64.417;-18.37
1090;-64.432;-18.878
1100;-63.587;-19.333
1110;-63.845;-19.526
1120;-64.895;-19.792
1130;-66.021;-20.051
1140;-67.437;-20.21
1150;-68.075;-20.563
1160;-68.866;-21.263
1170;-70.067;-21.503
1180;-71.111;-21.524
1190;-70.399;-22.196
1200;-70.056;-22.859
1210;-69.462;-23.123
1220;-70.253;-23.52
1230;-71.182;-24.168
1240;-71.766;-24.634
1250;-71.169;-25.089
1260;-72.291;-24.959
1270;-72.724;-23.796
1280;-72.35;-22.099
1290;-71.422;-20.774
1300;-70.227;-20.204
1310;-69.051;-19.868
1320;-67.913;-18.264
1330;-67.01;-16.908
1340;-65.823;-16.949
1350;-63.86;-16.99
1360;-60.046;-17.01
1370;-55.55;-16.56
1380;-51.739;-15.91
1390;-47.859;-16.386
1400;-43.49;-17.04
1410;-38.546;-16.833
1420;-33.717;-15.784
1430;-30.283;-14.798
1440;-29.038;-13.646
1450;-27.449;-12.433
1460;-25.831;-11.504
1470;-21.241;-10.589
1480;-15.561;-10.17
1490;-10.439;-9.606
1500;-7.631;-9.355
1510;-2.846;-8.46
1520;1.773;-9.314
1530;4.771;-8.295
1540;6.051;-7.329
1550;7.393;-8.318
1560;10.517;-8.52
1570;13.338;-8.942
1580;15.452;-9.168
1590;17.094;-7.132
1600;17.28;-5.08
1610;16.138;-3.885
1620;14.151;-3.393
1630;11.918;-2.333
1640;10.191;0.143
1650;8.6;2.569
1660;6.868;3.882
1670;8.129;2.176
1680;11.209;0.7
1690;13.858;0.811
1700;16.006;0.871
1710;17.961;0.496
1720;18.744;0.413
1730;18.952;0.618
1740;19.339;1.982
1750;19.644;4.993
1760;20.658;5.891
1770;20.616;6.29
1780;21.255;4.836
1790;23.361;4.854
1800;25.906;7.401
1810;26.428;8.455
1820;26.463;8.45
1830;26.506;9.263
1840;26.589;8.677
1850;27.306;8.105
1860;29.196;8.132
1870;30.737;8.106
1880;32.248;7
1890;34.292;4.887
1900;36.157;2.796
1910;36.948;1.619
1920;36.058;2.537
1930;35.386;2.926
1940;34.27;1.345
1950;33.348;-0.185
1960;31.241;-1.062
1970;29.414;-2.348
1980;29.298;-3.619
1990;29.28;-5.53
2000;28.717;-8.819
2010;26.583;-11.806
2020;23.066;-12.553
2030;19.674;-13.552
2040;18.212;-15.822
2050;17.13;-17.488
