timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
1080;-165.971;-140.094;-376.393;-120.127;-33.82;;-214.531;-254.784;-210.084;-44.779;-258.288;-284.161;-334.685;-61.445;-351.645
1090;-146.037;-130.324;-365.807;-117.593;-35.212;;-205.699;-246.861;-203.062;-40.062;-256.894;-277.996;-321.506;-46.29;-349.127
1100;-127.96;-121.307;-356.667;-115.533;-36.827;;-199.213;-239.507;-196.013;-36.013;-255.947;-272.24;-309.4;-32.6;-346.92
1110;-113.168;-113.056;-348.579;-112.115;-38.049;;-193.701;-230.355;-190.01;-32.53;-253.487;-267.178;-298.497;-22.408;-345.533
1120;-99.5;-107.497;-340.837;-109.206;-39.335;;-189.7;-226.044;-182.823;-29.461;-251.247;-261.743;-288.262;-14.212;-343.574
1130;-86.457;-102.15;-331.714;-106.718;-41.577;;-185.393;-222.141;-176.5;-26.739;-250.718;-255.842;-275.645;-7.145;-341.496
1140;-70.566;-96.555;-320.185;-104.58;-44.327;;-181.248;-214.048;-165.965;-23.576;-249.332;-250.505;-264.913;-0.712;-340.268
1150;-60.338;-89.675;-308.637;-101.75;-46.938;;-177.05;-206.662;-156.113;-20.725;-247.413;-246.288;-254.875;4.987;-338.113
1160;-51.094;-81.972;-297.896;-99.265;-49.6;;-173.192;-197.487;-147.148;-19.011;-245.989;-242.19;-242.785;11.053;-335.575
1170;-42.072;-74.272;-286.926;-97.074;-52.152;;-170.061;-189.636;-139.863;-17.447;-244.731;-238.442;-232.18;16.901;-332.843
1180;-31.959;-66.86;-275.323;-95.138;-55.284;;-168.35;-182.34;-133.629;-16.014;-243.439;-233.335;-224.981;23.443;-329.789
1190;-20.387;-58.881;-265.095;-93.369;-58.786;;-166.744;-176.923;-127.851;-14.875;-242.28;-229.155;-219.03;29.97;-325.726
1200;-10.108;-51.24;-255.4;-91.819;-62.315;;-163.388;-172.334;-124.656;-13.819;-240.962;-224.828;-213.48;35.442;-321.04
1210;22.701;-29.955;-234.647;-87.727;-63.303;;-150.623;-161.173;-112.264;-8.179;-234.668;-212.091;-194.071;59.475;-309.868
1220;55.594;-8.623;-214.073;-84.031;-63.336;;-137.879;-149.414;-99.216;-2.541;-227.006;-199.348;-174.516;82.656;-298.079
1230;79.124;6.285;-192.048;-79.496;-65.553;;-127.259;-139.46;-87.398;3.095;-220.55;-186.983;-154.705;93.899;-284.893
1240;98.54;18.192;-169.313;-74.924;-68.014;;-116.431;-129.177;-75.377;8.147;-214.242;-174.655;-137.069;101.172;-271.043
1250;110.973;27.32;-147.987;-70.876;-71.702;;-107.669;-118.72;-66.231;13.198;-206.569;-166.571;-122.373;107.684;-258.756
1260;117.28;36.755;-128.732;-66.507;-75.326;;-100.913;-109.599;-58.644;13.804;-199.857;-159.875;-108.612;110.755;-249.714
1270;123.509;47.283;-111.498;-62.109;-79.353;;-94.438;-99.412;-51.091;14.409;-192.241;-151.714;-96.29;110.103;-241.758
1280;124.578;57.221;-100.049;-57.681;-82.897;;-89.397;-89.32;-47.318;15.015;-184.416;-145.049;-84.12;109.181;-233.767
1290;122.843;63.837;-89.157;-54.385;-86.318;;-86.812;-79.302;-40.733;16.369;-176.756;-138.643;-72.407;107.302;-225.028
1300;123.013;70.499;-79.726;-51.815;-88.987;;-81.541;-66.535;-34.187;17.724;-167.067;-131.493;-59.981;108.347;-215.752
1310;126.57;73.43;-68.632;-49.208;-91.5;;-74.464;-49.337;-25.559;17.269;-157.819;-124.048;-48.134;111.124;-206.101
1320;130.115;76.262;-59.697;-46.567;-93.749;;-67.147;-32.156;-19.692;16.814;-146.174;-114.857;-35.481;113.841;-196.774
1330;134.354;76.798;-48.869;-45.251;-95.916;;-61.9;-13.753;-12.78;16.359;-131.842;-105.4;-20.671;117.88;-187.742
1340;138.271;80.279;-37.357;-44.082;-97.565;;-58.95;2.766;-2.454;14.714;-118.472;-96.211;-5.972;124.887;-179.241
1350;142.03;83.8;-25.78;-42.88;-99.17;;-52.3;18.28;7.92;13.07;-106.77;-87.02;9.25;132.58;-171.26
1360;147.813;86.382;-17.297;-42.724;-100.783;;-45.68;34.752;19.141;11.226;-96.486;-74.948;25.158;142.335;-164.266
1370;153.503;89.155;-7.624;-42.576;-102.355;;-34.999;53.942;29.249;9.383;-88.877;-63.183;41.807;152.953;-156.347
1380;159.542;93.881;4.31;-42.195;-103.407;;-25.664;75.131;39.323;7.541;-77.585;-51.082;56.716;164.024;-148.398
1390;163.362;98.219;15.534;-41.783;-104.165;;-16.357;92.84;48.633;5.983;-66.87;-38.639;73.048;174.97;-140.414
1400;171.215;102.912;26.257;-42.141;-104.082;;-7.023;110.425;56.004;4.427;-54.99;-26.101;89.471;186.693;-127.789
1410;178.285;105.322;37.771;-42.186;-104.389;;4.569;126.336;63.344;4.386;-41.217;-10.811;104.458;198.492;-118.59
1420;185.237;107.848;49.01;-42.194;-104.492;;16.537;142.73;69.761;4.345;-26.998;4.454;120.544;209.758;-108.54
1430;190.15;110.493;60.477;-42.168;-105.253;;30.846;158.877;76.615;4.305;-12.75;21.144;139.135;219.134;-97.953
1440;194.642;112.844;73.881;-42.548;-105.968;;46.993;175.665;87.484;4.764;1.386;38.891;159.121;228.26;-87.172
1450;201.816;115.433;87.282;-42.535;-106.207;;61.358;192.915;102.138;5.22;15.055;56.135;181.009;238.796;-74.355
1460;213.217;120.645;102.376;-42.482;-106.403;;77.197;212.244;116.849;4.631;28.913;72.951;202.91;250.421;-61.191
1470;224.515;127.133;118.857;-42.391;-106.239;;95.896;231.057;130.295;4.039;41.815;89.79;225.856;262.105;-45.815
1480;235.189;134.022;136.011;-43.062;-105.708;;113.499;248.858;143.224;3.445;56.769;105.769;246.977;273.51;-28.956
1490;241.985;138.944;150.491;-43.051;-104.025;;131.452;266.053;156.134;3.194;71.834;121.748;266.576;284.578;-10.842
1500;251.362;143.377;164.704;-43;-102.254;;149.506;283.096;169.139;2.946;86.031;137.725;283.997;294.01;8.649
1510;262.248;145.292;179.33;-43.032;-99.057;;168.419;296.492;181.442;3.219;103.057;152.963;297.406;301.56;29.488
1520;273.038;145.725;197.398;-43.189;-95.355;;185.27;306.181;193.726;3.497;119.358;167.998;309.857;308.754;50.495
1530;282.968;147.775;217.267;-42.988;-91.63;;202.107;314.655;206.143;3.778;140.595;182.667;322.166;316.189;70.798
1540;292.611;151.952;234.33;-42.749;-89.616;;216.688;322.983;216.109;2.845;162.713;197.233;331.782;321.22;91.189
1550;300.615;157.775;251.438;-42.193;-87.582;;225.835;326.485;222.742;1.913;182.993;213.572;340.38;323.935;111.112
1560;307.159;164.434;267.256;-42.017;-85.93;;234.971;325.25;224.069;0.421;198.972;231.529;347.503;322.147;131.416
1570;313.683;169.394;282.397;-41.802;-84.393;;240.782;320.069;225.589;-1.071;212.514;247.865;351.14;319.006;152.477
1580;317.756;172.877;295.271;-41.55;-81.357;;246.214;310.864;223.853;-2.565;222.075;260.1;353.156;311.383;173.609
1590;319.194;175.012;308.833;-41.181;-78.463;;251.639;301.563;217.527;-2.418;231.535;269.13;355.316;300.794;195.119
1600;319.48;175.912;322.368;-41.312;-74.832;;253.648;293.424;211.184;-2.272;242.624;278.264;356.328;288.248;216.696
1610;317.776;177.562;338.629;-41.401;-71.725;;255.257;282.502;203.155;-1.108;254.416;281.678;354.08;272.751;239.643
1620;315.918;179.634;352.615;-41.448;-68.61;;253.139;272.745;194.573;0.059;271.237;285.173;349.447;254.982;261.426
1630;310.938;179.083;362.505;-41.654;-65.149;;251.599;260.927;185.981;1.229;285.4;286.891;341.343;235.618;282.998
1640;303.349;179.109;370.476;-41.345;-61.684;;249.777;249.05;177.721;2.736;297.355;288.114;330.126;216.707;304.471
1650;294.52;178.314;376.828;-40.997;-58.266;;247.751;235.246;171.305;4.243;308.071;289.322;318.766;196.537;320.723
