timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;;41: wc-1-.1;42: wc-1-.3
1080;-211.399;-225.46;-231.344;-93.592;-68.006;-178.23;-90.921;-32.25;-43.412;-206.883;-70.462;;-109.279;-93.543
1090;-200.969;-209.434;-227.915;-85.876;-51.442;-171.587;-85.979;-32.156;-43.465;-200.867;-65.996;;-105.224;-91.896
1100;-196.453;-188.453;-223.64;-78.827;-41.813;-161.64;-80.84;-31.493;-42.893;-192.907;-66.16;;-100.987;-90.44
1110;-193.313;-174.678;-220.092;-72.691;-36.003;-151.954;-74.579;-31.408;-42.102;-186.171;-65.464;;-97.632;-86.477
1120;-186.164;-162.584;-215.897;-67.488;-29.734;-146.848;-69.125;-31.587;-41.134;-180.385;-64.141;;-94.759;-83.063
1130;-177.727;-155.239;-210.299;-66.594;-21.996;-144.252;-65.038;-31.607;-40.274;-175.192;-63.338;;-92.752;-78.248
1140;-171.037;-141.508;-205.027;-53.564;-16.746;-141.037;-62.338;-31.704;-40.085;-170.299;-63.122;;-91.44;-74.882
1150;-166.575;-124.563;-198.188;-36.05;-14.225;-138.188;-60.2;-31.875;-41.313;-166;-63.15;;-90.875;-71.912
1160;-157.213;-108.476;-189.258;-29.492;-12.845;-133.974;-57.702;-32.399;-43.714;-162.187;-62.762;;-91.801;-69.277
1170;-144.426;-97.804;-180.988;-26.795;-14.488;-127.959;-55.292;-33.144;-45.478;-159.288;-62.265;;-94.569;-67.594
1180;-132.865;-91.52;-173.476;-24.265;-16.426;-121.126;-53.627;-33.96;-46.793;-156.605;-62.464;;-95.013;-66.057
1190;-123.976;-85.97;-167.667;-18.679;-15.952;-114.494;-52.536;-35.363;-47.524;-154.185;-62.792;;-95.917;-64.589
1200;-117.04;-80.313;-161.273;-17.859;-12.228;-109.499;-50.612;-36.675;-49.002;-152.431;-61.765;;-97.567;-63.259
1210;-98.01;-59.099;-144.286;-9.2;6.692;-97.473;-37.723;-29.893;-48.879;-144.167;-47.883;;-90.914;-56.267
1220;-76.834;-38.057;-126.207;-1.735;26.538;-85.706;-30.083;-22.754;-48.093;-136.162;-40.604;;-83.531;-48.837
1230;-59.628;-19.785;-108.296;4.699;45.422;-73.197;-24.225;-19.562;-47.637;-127.338;-35.771;;-76.747;-44.758
1240;-47.637;-5.574;-95.791;10.333;57.404;-57.795;-17.943;-18.912;-46.993;-116.747;-30.602;;-74.184;-41.577
1250;-36;5.72;-83.296;14.844;63.756;-43.544;-13.658;-20.362;-46.491;-106.136;-28.673;;-73.182;-38.113
1260;-32.627;19.239;-68.633;18.767;70.838;-32.115;-10.157;-22.079;-46.154;-97.481;-27.922;;-72.536;-35.956
1270;-29.957;29.488;-55.964;20.533;73.08;-21.488;-5.572;-25.22;-46.065;-91.731;-27.403;;-67.906;-34.217
1280;-28;38.658;-44.474;20.351;74.603;-11.971;-2.642;-29.056;-47.562;-85.955;-27.225;;-65.308;-32.55
1290;-22.076;45.24;-33.015;20.904;74.317;-2.11;0.755;-31.97;-48.846;-80.915;-27.96;;-65.676;-30.343
1300;-14.446;52.627;-23.069;20.282;71.465;3.387;3.966;-33.777;-49.061;-76.013;-29.28;;-70.947;-28.086
1310;-8.676;59.537;-13.34;18.59;63.4;7.353;6.394;-35.877;-48.036;-71.095;-30.475;;-75.873;-25.234
1320;-3.094;66.577;-3.631;17.104;48.947;14.399;7.906;-37.668;-47.297;-65.532;-29.993;;-81.624;-23.365
1330;-6.024;73.298;8.12;15.292;36.574;21.879;8.897;-38.85;-48.535;-60.288;-29.588;;-83.974;-21.114
1340;-6.619;75.677;16.972;14.992;23.821;30.234;9.854;-39.73;-49.188;-55.027;-29.662;;-84.329;-18.562
1350;-4.37;74.87;24.82;16.31;13.5;34.26;9.84;-41.46;-50.06;-51.18;-27.92;;-84.39;-16.64
1360;-3.132;77.62;32.661;17.862;6.806;35.664;8.196;-42.014;-49.474;-46.741;-26.62;;-84.201;-16.447
1370;-6.862;77.884;43.331;18.895;-0.013;39.106;7.053;-41.363;-51.276;-42.292;-25.576;;-85.192;-16.597
1380;-12.151;79.68;49.712;22.811;-9.395;46.3;6.62;-40.665;-53.233;-37.425;-24.092;;-87.146;-17.115
1390;-18.173;75.89;56.107;17.957;-17.473;52.725;6.334;-40.775;-53.285;-33.343;-22.177;;-89.52;-17.26
1400;-23.552;68.143;75.661;8.731;-22.766;60.783;5.476;-41.71;-52.61;-30.019;-20.535;;-90.931;-17.185
1410;-31.975;59.054;78.282;6.994;-28.199;67.62;4.795;-42.523;-50.291;-26.541;-19.608;;-91.32;-17.925
1420;-44.235;50.616;80.345;7.124;-31.316;71.677;4.366;-41.799;-48.911;-22.92;-19.04;;-90.012;-18.461
1430;-53.926;44.423;82.429;7.909;-34.844;71.83;4.469;-40.256;-47.62;-18.123;-18.196;;-90.324;-17.65
1440;-58.51;39.175;86.591;6.763;-38.833;72.516;4.308;-38.562;-47.858;-13.327;-17.293;;-91.703;-16.116
1450;-61.942;35.878;84.702;10.289;-44.115;74.051;3.435;-36.275;-47.882;-8.345;-16.658;;-92.913;-13.138
1460;-64.811;30.827;83.294;12.844;-51.68;76.782;2.316;-34.18;-48.554;-3.274;-16.193;;-95.978;-11.252
1470;-67.773;22.726;80.799;16.645;-59.349;81.157;0.554;-32.801;-49.209;1.805;-16.279;;-98.79;-10.904
