timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
740;-90.247;-164.28;-206.458;-158.816;-187.386;-173.962;-93.511;-31.487;-70.67;-173.058;31.093;-123.194;-7.492;-125.297;-31.667
750;-80.124;-158.465;-196.18;-164.054;-181.015;-169.512;-85.956;-29.137;-63.081;-162.902;35.959;-112.836;0.564;-115.222;-31.147
760;-68.44;-150.107;-186.827;-166.947;-176.227;-164.133;-78.76;-27;-55.107;-154.093;39.933;-103.373;6.693;-106.04;-30.347
770;-57.405;-138.888;-178.895;-169.332;-172.089;-160.155;-72.724;-23.51;-45.474;-147.632;43.447;-95.105;9.467;-97.711;-30.507
780;-46.115;-128.808;-170.973;-170.565;-167.147;-155.661;-66.695;-20.34;-36.966;-141.917;47.17;-87.377;13.147;-88.608;-31.524
790;-35.239;-117.5;-162.064;-171.201;-162.218;-148.222;-61.308;-17.427;-32.12;-133.872;50.509;-81.607;18.893;-78.496;-32.735
800;-23.474;-103.692;-150.919;-170.598;-156.594;-139.616;-54.469;-14.759;-27.83;-124.839;53.701;-76.418;25.137;-68.006;-33.039
810;-11.913;-89.275;-139.237;-168.075;-150.025;-130.987;-46.625;-12.263;-25.325;-116.7;56.612;-72.35;31.388;-55.938;-31.55
820;-2.578;-77.226;-128.296;-164.372;-143.497;-122.002;-39.702;-9.966;-21.323;-107.439;58.139;-68.61;38.573;-41.386;-30.275
830;6.401;-65.153;-116.292;-160.827;-134.48;-112.564;-34.402;-7.432;-17.702;-98.998;59.56;-63.086;47.57;-27.078;-29.249
840;15.603;-53.172;-102.642;-160.288;-124.874;-101.976;-29.558;-5.084;-14.493;-88.467;61.128;-58.037;55.75;-12.636;-28.301
850;24.214;-42.03;-89.851;-160.554;-117.804;-89.137;-25.863;-3.613;-11.577;-80.536;62.607;-52.631;65.155;0.107;-26.506
860;30.172;-31.741;-78.911;-160.981;-111.146;-76.692;-22.468;-2.228;-10.534;-73.179;61.567;-49.518;74.294;11.348;-23.762
870;49.003;-9.63;-54.24;-157.509;-98.224;-51.352;-9.446;4.005;-3.38;-53.419;62.254;-31.865;95.638;35.327;-15.227
880;69.95;12.86;-29.044;-153.2;-84.25;-24.995;5.305;10.219;3.763;-34.68;62.925;-13.828;116.32;58.991;-6.08
890;87.612;31.553;-11.347;-152.644;-69.45;-4.028;17.515;17.182;11.188;-20.736;63.58;-4.678;132.225;77.392;-0.204
900;101.022;48.294;3.24;-155.064;-55.198;13.214;28.156;19.886;18.599;-6.475;63.018;4.898;142.635;91.695;3.038
910;109.856;67.044;16.762;-154.256;-42.224;27.04;36.84;23.733;24.238;5.609;62.702;10.162;149.998;104.451;4.184
