timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.3;;21: frq7-.1;22: frq7-.2;;23: frq9+.1;24: frq9+.2;25: frq9+.3;26: frq10+.1;27: frq10+.2;28: frq10+.3
740;-283.929;-281.298;-303.97;-10.622;30.062;;-116.238;-112.152;;64.148;-52.122;69.196;-70.356;-96.743;-74.712
750;-284.666;-269.745;-301.147;-7.488;35.077;;-110.434;-107.423;;79.55;-45.097;70.612;-61.846;-88.492;-69.838
760;-286.787;-262.8;-299.28;-4.533;32.8;;-105.333;-103.28;;92.147;-39.573;73.907;-55.187;-79.547;-63.307
770;-287.22;-258.819;-298.503;-5.549;30.941;;-100.934;-100.622;;101.207;-36.618;77.398;-50.299;-71.974;-57.753
780;-287.584;-254.337;-296.898;-6.425;31.635;;-95.934;-98.275;;106.189;-35.135;80.64;-44.332;-64.448;-50.759
790;-285.184;-250.872;-295.585;-7.235;32.385;;-91.543;-94.654;;110.701;-34.064;82.137;-39.073;-58.419;-46.346
800;-279.734;-249.487;-294.093;-6.473;31.107;;-87.598;-91.406;;115.824;-34.093;82.552;-34.957;-54.378;-40.149
810;-274.8;-249.05;-291.563;-5.45;30.05;;-84.087;-87.987;;118.212;-35.938;82.8;-29.75;-50.65;-34.738
820;-270.815;-249.203;-288.691;-0.538;30.025;;-81.09;-84.921;;119.723;-37.404;82.788;-24.781;-47.944;-30.901
830;-269.218;-249.159;-285.303;3.959;30.102;;-78.398;-81.438;;117.613;-37.822;82.431;-21.827;-44.46;-27.919
840;-269.391;-247.072;-280.726;8.118;28.963;;-76.031;-78.309;;114.314;-37.693;81.589;-19.217;-39.511;-24.24
850;-268.869;-244.315;-275.869;12.833;28.012;;-73.893;-74.464;;111.083;-37.845;81.56;-17.387;-34.875;-21.452
860;-268.744;-240.946;-270.066;16.845;28.179;;-72.555;-70.984;;107.784;-36.995;83.513;-15.379;-31.993;-18.868
870;-262.399;-225.762;-253.272;23.58;31.723;;-64.061;-58.266;;116.605;-20.79;93;-9.136;-22.98;-8.237
880;-252.468;-208.763;-234.685;30.314;38.247;;-55.56;-45.545;;125.41;-7.105;101.716;-3.397;-13.955;4.317
