timepoints (min);16: frq7,+ -1;17: frq7,+ -2;18: frq7,+ -3;19: frq1,- -1;20: frq1,- -2;21: frq1,- -3;22: frq7,- -1;23: frq7,- -2;24: frq7,- -3;25: frq9,+ -1;26: frq9,+ -2;27: frq9,+ -3;28: frq10,+ -1;29: frq10,+ -2;30: frq10,+ -3
720;-299.923;-222.179;-204.726;-320.793;-261.998;-311.406;-8.876;-114.577;-162.451;-481.163;-473.49;-296.726;-235.503;-155.283;-307.425
730;-297.591;-214.139;-195.959;-306.826;-254.425;-301.539;-12.483;-106.249;-154.006;-462.929;-450.575;-269;-227.048;-145.647;-298.461
740;-295.587;-207.467;-188.88;-293.36;-246.467;-291.653;-16.213;-102.413;-146.467;-442.067;-430.747;-244.947;-212.04;-138.147;-290.56
750;-292.734;-201.309;-183.263;-281.336;-239.747;-282.326;-23.503;-99.717;-140.303;-420.257;-410.49;-222.628;-199.023;-131.704;-282.467
760;-290.353;-195.654;-176.552;-268.946;-233.3;-273.731;-30.692;-98.165;-135.006;-401.003;-392.29;-204.183;-188.439;-127.705;-275.286
770;-291.073;-190.821;-171.906;-256.773;-228.175;-266.231;-38.603;-97.235;-130.491;-380.91;-377.906;-187.701;-178.021;-124.594;-267.897
780;-292.322;-186.559;-169.064;-245.863;-222.917;-258.935;-46.759;-94.032;-127.405;-362.896;-364.712;-177.083;-168.933;-122.138;-260.787
790;-293.838;-182.4;-166.725;-234.825;-218.425;-252.513;-54.975;-91.913;-125.887;-341.238;-353;-167.462;-158.05;-117.825;-253.55
800;-294.374;-179.108;-164.452;-224.811;-212.511;-246.22;-62.767;-88.869;-124.316;-320.702;-346.49;-160.03;-148.39;-112.621;-241.667
810;-293.74;-176.033;-162.134;-215.344;-206.228;-239.456;-70.922;-86.645;-123.778;-301.927;-339.884;-153.213;-139.82;-107.889;-230.922
820;-293.286;-174.218;-159.407;-206.645;-200.283;-232.871;-78.981;-84.914;-123.428;-282.773;-331.746;-144.888;-132.578;-103.555;-220.462
830;-291.917;-171.714;-157.78;-198.173;-194.97;-225.333;-87.339;-84.583;-122.768;-265.125;-323.571;-136.44;-125.637;-99.792;-209.708
840;-289.296;-169.489;-156.28;-189.009;-189.692;-217.094;-95.012;-84.595;-122.304;-249.428;-314.073;-128.581;-120.602;-96.595;-199.784
850;-276.635;-157.225;-146.096;-166.662;-171.836;-196.63;-100.77;-70.145;-112.083;-218.086;-291.117;-106.196;-102.377;-88.98;-180.867
860;-263.01;-144.721;-135.897;-143.217;-152.59;-176.766;-106.905;-55.798;-100.859;-186.781;-267.659;-83.847;-86.175;-80.82;-161.702
870;-255.909;-132.2;-126.105;-118.815;-134.655;-158.279;-112.779;-50.01;-89.605;-157.116;-242.165;-62.075;-73.886;-72.652;-142.106
880;-249.676;-122.751;-117.338;-94.165;-124.302;-139.76;-120.399;-44.129;-77.909;-127.498;-216.821;-40.333;-61.511;-63.172;-120.538
