timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
720;-198.987;-152.301;-297.062;-305.214;-173.204;-239.315;-112.947;-208.778;-205.633;-306.453;-180.576;-234.132;-201.918;-201.918;-302.071
730;-189.264;-147.583;-278.239;-295.068;-165.427;-233.492;-101.058;-198.952;-202.264;-294.191;-166.319;-222.21;-192.328;-192.328;-279.981
740;-179.467;-144.987;-262.56;-284.36;-159.28;-229.493;-91.413;-190.44;-199.787;-277.173;-154.12;-211.92;-183.36;-183.36;-261.147
750;-170.309;-142.809;-249.207;-274.964;-153.309;-225.822;-82.648;-182.868;-193.865;-261.99;-143.855;-203.145;-175.599;-175.599;-243.605
760;-161.016;-139.654;-238.721;-266.501;-147.625;-222.572;-76.719;-173.819;-188.807;-248.671;-134.934;-193.876;-168.448;-168.448;-228.298
770;-152.047;-134.859;-229.509;-259.671;-141.5;-219.59;-72.444;-164.073;-184.667;-236.235;-129.795;-186.09;-161.214;-161.214;-213.893
780;-143.395;-130.173;-221.278;-254.127;-135.091;-215.775;-66.987;-155.382;-181.117;-225.173;-125.081;-179.48;-154.824;-154.824;-200.904
790;-135.925;-124.775;-213.25;-247.6;-128.25;-211.863;-62.1;-147.45;-175.813;-214.662;-120.875;-173.612;-148.85;-148.85;-189.075
800;-129.192;-120.009;-205.862;-241.566;-122.072;-206.522;-55.794;-139.014;-171.143;-205.164;-116.951;-167.078;-143.915;-143.915;-178.235
810;-123.667;-115.336;-198.906;-234.382;-115.282;-199.582;-50.457;-131.333;-167.029;-197.539;-113.442;-160.02;-139.513;-139.513;-167.869
820;-118.428;-110.787;-192.625;-226.753;-108.535;-193.306;-46.951;-124.339;-163.035;-190.224;-108.3;-153.916;-136.615;-136.615;-158.413
830;-112.988;-106.149;-186.423;-219.94;-102.357;-185.881;-43.006;-118.024;-159.476;-183.506;-103.613;-148.5;-131.964;-131.964;-150.024
840;-107.645;-101.673;-180.791;-211.136;-96.948;-178.882;-40.944;-111.685;-156.296;-174.393;-99.207;-143.842;-127.751;-127.751;-142.329
