timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -1;44: wc-1,- -2;45: wc-1,- -3
720;-133.295;-160.036;-150.205;-254.759;-135.995;-150.556;-101.012;-99.703;-176.543;-98.776;-251.599;-91.681;-187.286;-218.639;-184.692
730;-131.108;-152.988;-145.622;-246.297;-129.315;-148.651;-91.056;-78.089;-163.326;-90.413;-235.927;-86.9;-180.956;-207.261;-176.23
740;-128.893;-146.907;-141.587;-239.4;-123.347;-145.867;-81.987;-59.48;-152.52;-83.027;-220.667;-82.187;-176.627;-198.92;-168.667
750;-127.355;-141.609;-136.523;-234.188;-118.408;-143.602;-70.01;-44.013;-140.783;-75.622;-207.253;-78.599;-172.836;-191.77;-161.457
760;-124.702;-134.142;-132.001;-229.761;-115.092;-138.309;-54.624;-33.497;-129.618;-67.979;-194.7;-75.148;-166.887;-182.68;-154.863
770;-122.624;-127.556;-124.543;-225.637;-111.987;-129.009;-39.239;-25.432;-118.231;-60.654;-183.667;-70.632;-161.859;-174.261;-150.927
780;-118.68;-121.614;-117.66;-222.102;-109.854;-120.719;-27.397;-18.085;-106.498;-54.726;-174.195;-65.897;-157.496;-167.028;-145.68
790;-115.25;-116.313;-108.863;-217.85;-107.937;-111.237;-16.225;-10.65;-96.438;-49.525;-165.613;-61.825;-152.95;-162.413;-139.975
800;-111.981;-111.559;-101.224;-212.735;-106.469;-103.406;-5.527;-3.554;-89.758;-44.464;-157.912;-58.769;-148.342;-159.815;-134.653
810;-109.36;-106.02;-94.259;-208.142;-105.022;-96.265;3.173;2.241;-85.435;-39.687;-151.218;-56.5;-142.558;-157.479;-130.412
820;-103.183;-101.003;-87.811;-203.066;-103.734;-90.745;13.509;7.693;-80.965;-35.187;-146.014;-54.521;-137.422;-154.292;-127.253
830;-98;-95.571;-81.899;-198.488;-102.369;-85.94;23.321;11.423;-76.929;-31.006;-141.238;-52.601;-132.494;-149.393;-124.875
840;-92.692;-90.621;-78.379;-192.426;-100.529;-81.504;30.572;14.602;-72.101;-27.292;-136.958;-50.555;-129.581;-144.492;-122.798
850;-85.655;-82.446;-71.648;-176.637;-91.397;-68.722;65.613;50.691;-53.461;-10.029;-116.734;-43.675;-120.991;-126.31;-110.126
860;-79.388;-72.292;-63.48;-160.832;-80.714;-56.366;104.894;87;-34.817;7.979;-96.402;-36.486;-113.241;-108.801;-96.781
870;-72.841;-62.121;-55.02;-143.543;-68.563;-44.004;122.968;110.735;-16.377;26.297;-75.563;-29.525;-103.524;-97.068;-81.823
880;-62.551;-49.023;-46.569;-126.246;-56.536;-35.134;136.716;118.648;1.597;38.436;-56.533;-23.403;-92.541;-87.216;-71.284
890;-51.773;-35.916;-37.047;-108.584;-44.26;-26.407;146.456;126.853;13.627;42.922;-36.66;-17.871;-81.122;-75.247;-65.029
900;-43.464;-22.798;-27.457;-97.373;-38.707;-20.277;153.353;127.295;24.552;45.486;-23.021;-13.434;-70.251;-63.298;-58.76
910;-34.862;-8.934;-17.997;-86.156;-34.732;-15.476;157.771;126.935;30.635;50.506;-14.566;-11.009;-62.611;-50.356;-55.004
920;-26.055;4.929;-8.708;-79.009;-32.796;-10.098;161.137;125.729;36.696;57.555;-10.102;-9.264;-56.281;-40.037;-53.581
930;-17.623;15.781;-0.346;-71.861;-31.742;-4.749;165.1;123.797;40.97;61.757;-5.141;-5.705;-50.787;-32.781;-50.067
940;-8.181;26.629;8.053;-64.867;-28.522;-0.381;170.512;120.941;42.714;63.621;-1.806;-2.804;-46.105;-25.96;-43.112
950;-0.103;35.754;14.205;-56.787;-23.343;3.864;178.119;117.846;43.623;65.348;2.976;0.053;-42.208;-17.538;-37.157
960;9.425;43.345;20.91;-48.712;-18.113;9.021;183.968;115.262;45.409;66.758;8.723;3.88;-38.44;-12.742;-33.78
970;19.427;50.926;27.356;-41.736;-12.623;15.614;187.901;113.252;47.561;69.03;14.362;6.506;-35.842;-9.026;-29.915
980;30.981;55.197;36.069;-34.762;-6.976;23.266;193.464;110.194;49.152;72.703;19.4;7.503;-31.749;-4.507;-25.695
990;42.37;59.46;44.95;-28.46;-3.35;29.91;199.15;105.99;52.21;73.17;23.27;8.22;-26.82;0.59;-21.71
1000;51.475;63.714;53.816;-22.049;-0.526;35.473;199.671;101.29;53.96;72.911;26.819;9.638;-20.122;6.849;-18.524
1010;59.697;64.957;62.423;-15.642;2.947;38.625;194.093;99.009;54.363;72.141;29.918;10.939;-16.956;11.22;-15.528
1020;67.196;66.198;68.58;-8.476;7.89;39.048;186.661;98.407;53.577;71.401;31.913;10.816;-13.663;15.274;-11.388
1030;73.093;64.448;73.968;-1.318;11.795;38.77;180.24;97.81;52.211;71.365;32.472;9.447;-9.512;18.129;-8.702
1040;79.385;62.695;77.288;7.078;15.88;37.604;172.627;95.979;51.194;71.232;34.032;8.743;-4.958;22.922;-7.17
1050;85.51;60.941;78.879;16.097;18.022;37.232;163.119;92.119;51.323;70.729;35.583;9.323;-0.959;28.844;-6.147
1060;91.327;60.272;80.407;25.103;19.914;37.821;153.585;88.501;52.379;70.487;38.991;10.972;1.69;35.515;-4.228
1070;89.972;59.601;82.007;32.504;25.866;39.629;142.598;86.167;53.72;69.787;42.997;12.474;4.191;40.598;-1.538
1080;88.798;60.009;83.455;39.894;32.626;41.669;132.698;85.288;56.084;68.837;46.856;13.367;6.241;44.772;2.424
1090;86.529;60.422;86.818;44.233;38.784;42.858;124.635;84.144;57.473;67.769;49.305;13.885;9.849;49.635;6.829
1100;84.11;60.839;90.978;45.586;44.835;44.254;115.916;82.824;57.839;66.44;50.987;14.002;13.415;53.812;9.83
1110;83.44;59.204;93.632;46.926;49.725;45.801;106.543;82.87;57.994;64.379;53.589;13.781;16.731;56.389;12.321
1120;82.368;57.582;95.923;47.25;52.894;48.393;95.663;82.573;58.124;62.206;55.935;14.027;17.927;60.6;12.613
1130;78.172;50.939;98.388;47.564;56.011;49.647;84.831;82.114;59.394;60.832;58.729;15.548;17.71;64.988;13.869
1140;74.085;44.315;98.567;48.435;57.616;51.177;75.663;81.461;61.482;60.548;60.198;16.953;18.19;69.643;15.191
1150;71.512;37.71;98.931;52.794;59.184;50.142;68.182;80.829;62.768;59.221;62.423;17.942;19.104;73.077;16.373
1160;69.044;28.744;99.406;57.147;61.215;49.56;61.328;79.381;62.743;56.374;63.004;18.672;20.141;75.377;18.348
1170;66.008;19.797;99.514;64.599;63.328;48.378;53.99;76.87;62.355;52.243;65.679;18.827;22.23;78.187;20.731
1180;62.999;15.033;100.407;72.044;65.849;48.835;46.044;74.44;62.762;47.625;66.832;18.976;26.088;79.97;22.001
1190;59.302;10.288;100.695;80.207;67.328;50.545;38.208;73.788;62.987;43.702;68.065;19.948;29.743;82.117;21.727
1200;55.597;5.563;100.779;86.479;66.87;52.772;30.018;74.961;62.85;39.155;67.45;21.423;32.238;79.055;22.335
1210;50.604;2.879;98.621;92.74;67.316;54.069;22.344;75.026;63.46;34.04;67.19;21.461;34.285;76.996;24.053
1220;45.588;0.214;96.429;99.225;66.118;51.954;15.139;72.724;63.469;29.447;67.164;21.226;36.901;75.818;25.358
1230;38.805;-2.505;91.955;105.534;65.086;48.686;8.731;70.253;63.017;24.459;66.924;21.948;39.195;76.158;25.759
1240;31.928;-5.208;85.92;111.792;66.28;44.728;3.288;67.36;61.12;23.056;66.24;22.752;43;76.4;25.48
1250;27.045;-7.896;79.384;115.329;68.626;42.021;1.032;64.695;59.684;22.321;65.593;23.156;46.234;75.709;25.846
1260;21.977;-10.445;72.32;118.859;70.95;39.407;1.293;62.768;58.19;21.062;65.414;22.786;50.306;74.41;26.263
1270;17.786;-12.983;64.991;120.411;71.389;36.821;1.25;61.24;56.409;18.804;66.352;22.629;54.53;74.263;27.444
1280;13.454;-10.722;58.818;121.913;72.908;35.102;-1.373;59.084;55.132;15.455;67.593;22.904;56.571;75.207;29.386
1290;9.682;-8.445;52.234;122.652;72.957;33.074;-4.622;55.832;53.315;12.442;68.671;23.198;57.211;77.106;31.745
1300;5.719;-6.151;47.373;122.152;75.125;31.975;-6.94;53.107;51.275;10.2;69.678;23.035;58.126;77.502;34.639
1310;1.399;-7.118;42.554;121.651;77.467;31.423;-8.065;51.462;49.705;8.382;69.572;23.12;59.687;76.973;37.498
1320;0.399;-8.065;36.977;121.228;75.236;30.677;-9.69;49.303;48.694;7.317;70.228;23.521;62.09;75.16;41.678
1330;-1.513;-11.115;31.528;120.587;71.613;32.078;-12.568;47.275;47.029;6.404;70.759;24.243;64.206;74.075;45.702
1340;-3.212;-14.151;25.858;121.508;66.861;35.351;-15.532;46.144;44.594;5.119;72.843;24.521;66.287;72.427;49.279
1350;-3.539;-17.173;19.278;124.117;61.283;38.148;-16.667;45.142;43.588;3.228;74.289;25.403;67.912;70.896;53.513
1360;-4.808;-19.121;12.366;126.734;55.651;39.759;-16.698;41.95;44.747;1.164;73.971;26.693;70.278;72.331;56.469
1370;-5.186;-21.062;5.83;129.11;49.904;36.994;-13.861;37.03;44.976;-1.06;72.717;26.359;73.117;72.997;60.957
1380;-6.29;-20.673;-1.211;131.348;45.085;34.164;-10.132;32.62;42.746;-3.866;71.132;24.706;76.288;74.331;64.639
1390;-7.061;-20.277;-7.223;130.883;41.086;29.513;-7.801;29.201;39.253;-6.107;70.077;22.857;78.197;73.381;67.283
1400;-7.251;-19.876;-12.018;128.163;38.151;26.46;-6.24;25.732;37.658;-8.905;69.018;20.808;79.097;74.258;69.165
1410;-6.872;-17.377;-16.549;125.451;36.99;23.903;-5.161;22.786;36.21;-11.052;68.456;18.851;79.993;74.921;71.39
1420;-6.108;-14.871;-19.787;123.605;36.218;21.584;-4.508;20.557;33.201;-13.203;66.521;17.676;80.47;76.45;73.208
1430;-3.708;-12.571;-22.784;121.713;34.625;18.279;-3.086;19.081;30.034;-14.552;65.538;16.409;81.413;78.437;73.573
1440;-1.407;-10.266;-25.171;119.145;31.997;14.062;-0.625;16.594;26.96;-15.39;64.468;14.983;82.545;78.887;74.177
