timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
720;-199.043;-3.627;-174.148
730;-190.454;5.203;-152.357
740;-183.28;13.293;-133.493
750;-177.247;19.539;-121.694
760;-172.001;25.089;-111.612
770;-157.359;30.645;-102.692
780;-144.43;35.696;-94.908
790;-132.95;47.612;-88.45
800;-123.152;58.46;-82.675
810;-116.497;69.614;-75.262
820;-110.569;77.149;-68.418
830;-105.274;84.179;-62.19
840;-100.529;90.76;-56.784
850;-88.932;115.148;-37.759
860;-83.344;141.877;-18.715
870;-77.729;168.549;-2.772
880;-72.085;195.288;10.264
890;-65.527;202.971;23.289
900;-57.122;205.96;35.422
910;-48.711;208.895;41.87
920;-40.294;211.93;48.311
930;-32.287;205.833;53.906
940;-23.705;199.684;51.918
950;-15.11;193.486;51.351
960;-6.501;191.063;50.765
970;2.1;186.238;45.587
980;3.914;181.373;42.335
990;5.74;176.5;39.09
1000;7.579;172.148;39.139
1010;8.978;164.72;37.828
1020;3.078;157.256;36.518
1030;-1.803;150.102;35.492
1040;-6.665;137.549;34.143
1050;-11.508;124.956;32.792
1060;-13.39;112.324;29.347
1070;-16.196;102.567;29.223
1080;-19.004;86.168;29.053
1090;-21.815;69.727;29.164
1100;-24.358;52.679;27.635
1110;-20.589;33.201;26.197
1120;-16.827;19.815;27.878
1130;-13.072;6.401;26.599
1140;-10.254;-7.866;25.527
1150;-12.627;-14.305;25.331
1160;-14.991;-20.755;26.131
1170;-17.346;-27.217;27.062
1180;-20.011;-29.795;28.828
1190;-22.503;-36.367;30.107
1200;-24.982;-42.932;30.08
1210;-27.447;-48.729;30.046
1220;-29.648;-52.173;29.324
1230;-28.64;-53.584;26.811
1240;-26.824;-55;24.288
1250;-25;-55.454;22.636
1260;-23.168;-48.93;22.24
1270;-20.797;-42.426;21.837
1280;-16.148;-35.942;22.946
1290;-11.498;-29.643;23.837
1300;-6.85;-23.488;25.089
1310;-1.748;-17.356;26.342
1320;5.467;-11.015;23.893
1330;12.674;1.901;19.971
1340;19.874;13.471;16.055
1350;26.817;25.016;14.212
1360;33.037;36.859;13.329
1370;39.253;40.712;12.446
1380;45.467;44.538;14.228
1390;51.284;48.337;17.654
1400;61.904;48.647;21.085
1410;72.527;44.894;23.386
1420;83.152;41.119;25.252
1430;94.057;35.823;27.298
1440;100.441;34.527;29.828
1450;101.928;29.23;30.068
1460;103.415;23.934;29.956
1470;104.992;17.81;30.524
1480;106.568;9.206;27.143
1490;104.145;3.877;24.011
1500;101.721;0.121;19.999
1510;99.526;-7.594;17.651
1520;97.33;-15.87;15.076
1530;93.414;-23.429;10.981
1540;90.153;-32.588;5.786
1550;86.83;-41.626;0.142
1560;83.508;-50.368;-5.502
1570;79.065;-59.186;-5.807
1580;74.65;-68.004;-4.749
1590;70.234;-75.622;-3.691
1600;65.819;-82.668;-4.31
1610;63.684;-89.713;-6.69
1620;62.528;-94.919;-9.069
1630;61.372;-101.564;-12.149
1640;60.217;-107.058;-17.455
1650;57.621;-112.552;-22.761
1660;50.194;-114.006;-27.17
1670;42.768;-116.462;-30.945
1680;35.342;-118.919;-34.52
1690;27.916;-121.375;-38.143
1700;22.552;-118.19;-41.771
1710;16.146;-114.592;-45.799
1720;9.741;-110.993;-50.068
1730;2.97;-106.954;-49.657
1740;3.679;-99.605;-50.206
1750;4.705;-93.057;-50.665
1760;5.731;-86.508;-51.844
1770;6.874;-79.537;-53.663
1780;7.978;-68.534;-55.828
1790;9.833;-57.531;-55.472
1800;11.688;-46.19;-55.548
1810;13.481;-39.57;-55.203
1820;13.954;-33.356;-59.618
1830;13.876;-27.142;-64.382
1840;13.797;-21.353;-69.774
1850;13.65;-20.444;-74.005
1860;11.662;-20.059;-77.992
1870;6.954;-20.571;-82.012
1880;2.537;-19.643;-85.353
1890;-1.881;-20.272;-85.989
1900;-6.299;-20.901;-86.294
1910;-8.397;-21.343;-87.159
1920;-10.523;-21.506;-85.411
1930;-12.648;-22.807;-83.912
1940;-14.774;-24.48;-82.412
1950;-14.339;-28.673;-83.516
1960;-13.601;-34.626;-84.261
1970;-12.863;-40.455;-85.006
1980;-12.126;-46.284;-84.752
1990;-13.468;-55.913;-83.538
2000;-14.961;-63.51;-82.324
2010;-16.455;-70.342;-80.399
2020;-17.949;-77.174;-77.833
2030;-22.832;-80.246;-76.268
2040;-26.935;-83.441;-74.488
2050;-31.039;-86.637;-72.029
2060;-35.142;-86.113;-67.53
2070;-38.353;-80.637;-62.796
2080;-41.564;-74.81;-57.382
2090;-44.637;-68.982;-53.408
2100;-47.71;-67.394;-49.248
2110;-51.897;-66.041;-45.568
2120;-53.363;-64.688;-40.568
2130;-54.263;-63.335;-34.299
2140;-55.164;-50.828;-30.79
2150;-55.919;-38.341;-26.699
2160;-54.273;-25.854;-23.084
2170;-52.421;-11.687;-21.509
2180;-47.321;3.025;-19.509
2190;-42.222;17.509;-18.109
2200;-38.483;28.113;-14.389
2210;-34.819;39.919;-5.863
2220;-29.206;51.407;4.124
2230;-23.592;62.895;12.472
2240;-20.178;72.95;24.502
2250;-16.516;81.526;36.16
2260;-13.612;89.404;47.058
2270;-10.709;91.723;56.629
2280;-6.206;85.753;67.2
2290;-1.702;79.783;77.771
2300;0.785;68.541;85.603
2310;3.272;58.043;91.395
2320;6.279;42.745;95.466
2330;11.185;27.371;99.069
2340;15.539;15.437;104.112
2350;19.894;12.623;107.754
2360;25.568;9.81;111.535
2370;29.197;7.699;113.996
2380;33.095;6.251;117.617
2390;36.993;-4.477;120.548
2400;40.531;-17.166;122.959
2410;43.822;-29.461;122.93
2420;47.127;-42.196;123.88
2430;46.992;-54.931;124.15
2440;46.857;-64.237;128.061
2450;49.108;-69.663;131.985
2460;51.676;-75.09;131.269
2470;52.604;-75.316;130.753
2480;53.321;-76.163;129.934
2490;54.039;-76.17;125.714
2500;54.756;-76.177;119.575
2510;55.859;-78.146;113.926
2520;56.092;-74.818;109.396
2530;56.326;-71.49;105.657
