timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
720;-275.756;-278.559;-268.731;-155.652;-307.511;-264.308;-228.176;-198.277;-261.021;-175.829;-72.855;-199.538;-138.887;-308.289;-263.839
730;-268.57;-260.006;-250.382;-144.384;-295.257;-258.087;-221.745;-192.071;-253.156;-171.112;-72.183;-200.564;-124.058;-292.002;-244.135
740;-261.6;-240.387;-230.44;-135.147;-283.147;-254.067;-214.2;-181.12;-246.307;-166.747;-73.347;-196.24;-110.32;-277.547;-226.773
750;-255.395;-223.27;-212.72;-128.862;-272.658;-249.372;-205.977;-173.066;-240.007;-163.286;-76.586;-192.289;-96.086;-263.27;-210.885
760;-248.228;-206.768;-198.516;-124.338;-261.586;-245.15;-198.775;-166.188;-233.78;-156.631;-79.879;-188.701;-83.252;-249.746;-195.171
770;-240.171;-192.41;-185.235;-120.585;-252.624;-244.077;-191.376;-161.624;-228.509;-150.094;-83.568;-185.436;-70.662;-237.15;-178.218
780;-230.65;-179.573;-173.101;-118.117;-246.11;-243.891;-184.832;-157.244;-223.339;-144.822;-86.055;-180.827;-58.011;-225.654;-162.216
790;-222.025;-167.875;-162.125;-117.225;-239.925;-243.787;-178.063;-152.475;-217.863;-140.888;-87.625;-176.75;-45.362;-214.037;-147
800;-211.938;-158.261;-149.993;-117.453;-234.309;-242.993;-172.116;-147.328;-212.672;-139.411;-88.832;-170.914;-33.462;-203.316;-132.519
810;-203.36;-149.754;-138.726;-117.975;-228.434;-242.402;-166.724;-142.182;-206.34;-138.15;-90.137;-165.623;-22.463;-191.8;-119.018
820;-195.749;-141.643;-127.278;-119.023;-221.719;-241.989;-163.883;-137.746;-199.855;-138.116;-91.526;-160.523;-13.57;-180.794;-107.972
830;-188.268;-132.589;-115.976;-121.238;-214.94;-239.292;-161.286;-135.393;-193.577;-137.732;-93.72;-155.702;-5.756;-169.851;-99.81
