timepoints (min);46: wc-2,- -2;47: wc-2,- -3
720;-254.679;-20.093
730;-236.616;-17.983
740;-221.173;-15.973
750;-208.299;-13.382
760;-197.154;-10.886
770;-189.996;-4.979
780;-183.831;0.037
790;-178.45;4.675
800;-175.638;12.605
810;-173.223;19.919
820;-170.689;25.513
830;-164.542;28.161
840;-158.972;30.614
850;-146.29;36.348
860;-135.583;37.972
870;-124.851;39.607
880;-113.96;41.758
890;-103.049;39.107
900;-95.278;36.734
910;-87.619;34.653
920;-80.339;33.645
930;-70.558;35.349
940;-60.758;37.046
950;-59.898;37.993
960;-57.1;41.591
970;-54.284;45.198
980;-55.298;48.939
990;-53.94;50.66
1000;-52.571;52.399
1010;-51.299;55.175
1020;-48.175;55.428
1030;-47.838;55.079
1040;-47.985;55.29
1050;-46.511;52.447
1060;-41.456;51.191
1070;-36.382;49.924
1080;-33.681;51.108
1090;-34.027;51.68
1100;-34.379;52.239
1110;-32.951;57.237
1120;-26.845;59.457
1130;-20.741;61.659
1140;-14.369;64.028
1150;-4.843;66.097
1160;3.996;67.147
1170;13.16;67.348
1180;19.832;64.825
1190;30.373;59.898
1200;40.903;54.968
1210;49.495;47.213
1220;55.316;38.857
1230;61.127;30.501
1240;64.312;24.976
1250;66.452;21.198
1260;68.586;17.407
1270;70.918;13.697
1280;76.042;10.573
1290;83.358;7.315
1300;91.193;3.404
1310;95.452;-2.111
1320;98.616;-9.989
1330;101.765;-17.87
1340;108.265;-24.902
1350;116.106;-33.981
1360;123.928;-43.066
1370;127.183;-48.89
1380;130.618;-53.328
1390;134.033;-57.779
1400;137.429;-62.547
1410;141.487;-66.324
1420;144.007;-66.189
1430;146.502;-65.208
1440;145.099;-61.847
1450;140.312;-56.199
1460;135.524;-50.55
1470;133.614;-44.302
1480;131.223;-40.964
1490;128.833;-36.799
1500;127.483;-34.393
1510;126.868;-33.068
1520;126.321;-32.377
1530;125.775;-31.686
1540;123.194;-30.875
1550;122.159;-26.917
1560;121.123;-22.96
1570;121.167;-16.215
1580;120.662;-7.694
1590;120.157;0.828
1600;118.292;11.389
1610;116.537;18.142
1620;114.463;25.33
1630;112.19;31.117
1640;111.997;34.545
1650;111.749;38.497
1660;111.501;42.097
1670;112.772;41.777
1680;108.732;40.763
1690;104.934;39.749
1700;102.255;35.792
1710;100.192;29.644
1720;97.17;23.497
1730;94.628;19.149
1740;90.845;13.961
1750;86.519;8.905
1760;81.346;4.928
1770;74.614;4.872
1780;68.309;5.284
1790;62.583;6.241
1800;56.858;4.039
1810;51.503;3.171
1820;46.149;2.303
1830;41.481;-0.444
1840;38.501;-7.441
1850;35.52;-14.439
1860;31.417;-17.276
1870;26.273;-20.593
1880;20.647;-24.538
1890;12.941;-26.123
1900;2.847;-24.348
1910;-6.633;-22.297
1920;-16.113;-20.245
1930;-19.633;-18.473
1940;-24.844;-18.164
1950;-30.055;-17.855
1960;-36.226;-16.066
1970;-42.124;-17.629
1980;-48.022;-19.192
1990;-52.68;-19.914
2000;-57.338;-18.917
2010;-62.223;-17.637
2020;-65.549;-20.277
2030;-68.834;-27.837
2040;-71.858;-35.811
2050;-74.881;-43.785
2060;-77.945;-52.404
2070;-82.164;-61.127
2080;-86.673;-63.41
2090;-92.462;-61.732
2100;-98.43;-60.228
2110;-105.879;-58.723
2120;-111.983;-54.138
2130;-118.088;-49.553
2140;-124.774;-44.989
2150;-128.23;-44.447
2160;-131.687;-43.905
2170;-135.33;-46.25
