timepoints (min);16: frq7+.1;17: frq7+.2;;18: frq1-.1;19: frq1-.2;20: frq1-.3;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
880;-40.302;-211.963;;-50.229;-118.613;-107.066;-250.085;-270.317;-438.063;-156.597;92.231;-280.241;-41.491;-157.453;-117.023
890;-24.058;-202.295;;-38.932;-110.822;-97.876;-232.618;-256.236;-409.535;-134.653;103.71;-264.988;-14.019;-154.73;-98.068
900;-7.707;-196.16;;-27.173;-104;-90.88;-216.373;-242.173;-384.44;-115.173;119.16;-254.573;9.787;-153.707;-85.067
910;5.743;-189.539;;-14.711;-96.734;-84.704;-201.908;-229.388;-359.98;-98.148;133.803;-244.829;30.454;-151.549;-70.253
920;19.759;-183.798;;-3.586;-91.52;-77.419;-189.327;-215.325;-338.293;-82.315;147.432;-229.919;50.413;-149.335;-56.939
930;32.111;-178.808;;7.731;-86.842;-68.278;-178.829;-200.256;-317.893;-68.791;159.795;-220.043;73.427;-146.607;-46.235
940;42.533;-175.249;;18.443;-81.973;-60.059;-169.137;-186.851;-299.568;-58.276;170.624;-210.955;94.801;-142.111;-36.221
950;50.625;-172.087;;28.188;-76.3;-49.225;-160.425;-173.488;-282.763;-48.55;179.525;-200.325;109.413;-138.275;-26.4
960;58.79;-168.023;;36.492;-71.055;-39.379;-152.504;-161.614;-267.323;-38.453;187.051;-187.067;122.783;-132.217;-14.404
970;65.676;-161.674;;43.19;-64.979;-29.469;-143.812;-149.983;-253.079;-29.823;193.793;-174.956;130.875;-125.497;-3.538
980;72.495;-155.851;;48.15;-59.389;-20.507;-135.111;-138.132;-239.664;-22.24;199.322;-161.139;137.633;-119.623;8.05
990;79.446;-149.054;;52.815;-53.786;-13.673;-127.137;-127.226;-227.113;-15.19;202.655;-147.869;145.476;-113.798;17.81
1000;86.475;-140.525;;56.16;-47.894;-9.819;-119.405;-115.715;-215.468;-6.866;204.762;-135.12;154.899;-107.341;27.049
1010;112.764;-119.952;;71.402;-36.768;4.866;-95.787;-87.442;-188.629;16.817;227.508;-100.213;184.558;-96.022;48.105
1020;134.324;-96.382;;86.415;-25.095;20.695;-72.014;-58.507;-162.544;39.924;249.941;-64.061;213.701;-84.092;69.112
1030;154.445;-76.51;;97.719;-13.475;33.72;-49.649;-32.995;-135.79;62.845;266.208;-29.757;241.627;-70.485;88.537
1040;175.876;-60.147;;102.128;-1.872;46.696;-26.944;-7.781;-109.707;85.343;276.992;-4.763;269.033;-56.446;107.529
1050;193.387;-44.664;;106.533;8.556;55.676;-10.258;7.644;-84.507;101.958;283.896;21.76;289.413;-43.02;124.213
1060;206.167;-33.598;;112.268;16.969;64.644;1.385;23.12;-58.616;111.007;286.284;43.385;295.394;-32.58;135.628
1070;216.995;-23.927;;116.305;25.03;69.607;13.525;36.097;-36.188;117.976;284.473;63.61;297.809;-22.156;145.688
1080;222.433;-13.283;;120.434;30.863;73.742;22.125;48.2;-13.993;121.006;279.248;80.499;292.72;-12.062;154.015
1090;230.092;-3.267;;122.705;35.686;77.983;29.782;60.606;1.059;122.754;274.177;93.016;284.369;-1.08;162.71
1100;240.541;8.341;;123.215;40.718;80.859;37.417;70.762;16.114;124.248;270.074;105.309;275.952;13.373;168.52
1110;249.375;20.804;;123.714;44.949;83.962;44.117;81.448;24.495;124.643;265.319;117.088;266.093;28.084;171.983
1120;255.05;33.526;;123.884;49.175;86.001;49.737;93.341;35.558;125.03;261.681;128.378;257.013;42.393;174.537
1130;259.612;44.853;;122.424;53.524;88.23;55.339;105.475;43.901;123.176;253.569;141.045;247.894;58.596;176.895
1140;261.578;54.958;;120.953;57.509;89.62;61.283;117.364;51.076;119.703;245.255;153.892;238.093;73.241;179.236
1150;264.12;64.3;;117.83;61.46;91.8;66.33;126.64;59.13;116.3;235.98;168.43;226.8;87.95;185.44
1160;269.421;72.167;;113.435;65.046;92.768;71.409;135.892;65.663;113.153;226.244;180.835;215.011;101.866;188.149
1170;272.552;80.853;;109.027;69.467;92.337;76.341;141.662;73.635;109.769;215.806;186.59;202.808;117.256;187.074
1180;273.033;91.589;;104.005;74.119;89.856;81.096;145.77;80.854;106.847;202.656;194.652;186.502;134.949;186.935
1190;272.048;103.58;;97.958;78.222;87.916;85.852;148.957;88.753;105.601;189.863;201.326;168.837;153.076;184.823
1200;272.364;114.888;;91.897;81.316;83.396;90.693;150.848;96.402;103.505;176.811;206.667;151.815;170.625;183.097
1210;271.719;125.394;;85.969;83.937;78.427;95.078;152.656;104.732;99.146;162.933;209.011;133.972;183.615;180.108
1220;272.611;133.896;;80.693;85.35;72.868;98.03;153.861;112.873;95.286;148.201;211.031;120.082;193.964;178.474
1230;270.899;141.004;;75.402;86.759;67.3;100.145;153.717;122.498;92.004;133.585;210.994;106.861;205.309;175.283
1240;266.956;144.279;;70.142;88.036;63.271;102.483;155.774;134.487;88.413;120.234;208.717;93.838;216.057;171.897
1250;261.302;145.967;;64.88;88.711;61.593;104.86;156.487;146.925;83.175;107.84;206.338;79.213;222.315;166.496
1260;249.805;147.663;;59.844;89.536;59.657;109.442;158.041;158.29;78.077;94.583;201.085;68.559;224.986;162.176
1270;234.469;145.269;;54.848;88.996;56.54;114.008;159.16;170.307;73.504;81.175;195.819;57.925;227.78;157.978
1280;216.018;143.143;;49.952;88.452;52.454;118.122;160.248;180.174;67.901;67.393;189.623;47.079;227.444;155.299
1290;195.18;143.578;;44.999;86.576;48.555;121.277;162.016;190.492;61.125;54.591;183.365;35.131;225.156;150.829
1300;175.237;141.932;;39.96;84.757;45.247;124.417;164.983;199.104;55.477;40.367;172.883;23.191;222.699;144.064
1310;154.776;140.338;;34.702;82.932;42.454;127.751;166.672;206.962;50.501;27.923;161.677;18.684;219.036;138.326
1320;134.904;139.183;;30.511;80.736;40.632;128.389;166.701;215.355;47.353;15.82;148.336;18.068;212.737;130.523
1330;116.552;137.448;;26.115;78.378;39.522;129.124;166.839;224.101;45.818;3.069;134.737;16.455;205.482;122.833
1340;97.627;134.508;;21.651;75.957;37.817;127.881;165.261;231.141;43.547;-10.39;126.469;13.386;197.663;113.337
1350;78.298;132.927;;17.028;72.707;36.107;126.543;163.292;238.032;41.043;-23.797;116.312;7.048;187.695;102.102
1360;60.806;130.436;;12.399;69.296;33.317;125.236;160.927;243.422;37.482;-37.452;106.129;-0.18;175.914;91.085
1370;44.951;126.532;;7.563;65.24;30.549;124.058;156.55;245.352;32.279;-49.844;95.656;-8.423;163.599;80.153
1380;29.844;122.507;;3.496;60.836;26.819;121.75;151.863;246.436;27.332;-59.646;86.776;-17.31;151.539;69.108
1390;16.037;123.601;;-0.577;56.151;23.878;117.727;146.789;248.62;25.823;-66.618;77.562;-24.447;139.469;56.402
