timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3
880;39.18;-297.6;-305.644;-185.362;-203.788;-424.596;-35.546;-162.698;-83.625;-126.488;-170.773;;-175.798;-214.511;-264.787
890;28.539;-283.041;-294.125;-171.18;-193.096;-390.423;-33.927;-146.514;-78.185;-120.859;-166.346;;-162.726;-200.234;-248.38
900;19.307;-270.52;-282.227;-159.987;-183.933;-361;-32.413;-130.04;-73.493;-116.013;-162.52;;-151.573;-182.787;-231.427
910;10.428;-258.977;-271.793;-149.201;-176.921;-336.73;-30.303;-114.839;-69.026;-111.803;-157.049;;-142.77;-167.592;-217.112
920;2.924;-248.679;-261.231;-141.636;-170.264;-316.731;-26.108;-102.118;-64.973;-106.172;-152.28;;-134.81;-155.963;-203.772
930;-4.034;-240.923;-250.705;-136.483;-164.269;-296.115;-22.479;-90.821;-61.274;-101.201;-148.094;;-128.556;-146.919;-191.564
940;-8.592;-234.13;-241.312;-130.849;-159.26;-277.624;-19.155;-80.292;-58.011;-96.784;-144.396;;-122.915;-137.743;-180.094
950;-12.662;-225.35;-232.325;-124.225;-155.987;-259.638;-17.4;-69.825;-54.988;-91.537;-141.275;;-117.813;-129.825;-169.6
960;-14.51;-217.543;-224.427;-117.936;-152.792;-246.739;-16.758;-59.938;-52.067;-86.94;-133.312;;-112.758;-121.877;-160.75
970;-15.671;-209.371;-216.68;-112.028;-150.4;-234.662;-16.206;-50.601;-49.496;-82.793;-126.121;;-106.895;-113.953;-153.377
980;-15.771;-202.15;-209.486;-106.147;-140.197;-226.266;-15.919;-42.137;-47.197;-79.036;-119.599;;-101.12;-106.253;-146.826
990;-15.47;-195.655;-202.976;-100.53;-130.762;-217.613;-15.607;-35.089;-45.339;-75.827;-113.649;;-95.81;-99.47;-141.357
1000;-15.299;-190.294;-197.035;-94.353;-123.007;-209.445;-15.094;-28.729;-43.619;-73.136;-108.212;;-91.202;-93.224;-135.918
1010;-20.601;-172.603;-185.49;-70.832;-98.754;-180.047;-0.87;-10.499;-33.889;-66.995;-97.955;;-71.941;-65.456;-109.483
1020;-25.703;-154.069;-174.151;-47.338;-76.302;-150.594;13.989;7.703;-23.736;-60.838;-87.684;;-52.136;-38.786;-82.842
1030;-28.112;-135.402;-162.457;-30.209;-62.039;-118.965;23.15;25.774;-17.487;-54.907;-77.399;;-32.348;-19.809;-63.897
1040;-30.559;-116.137;-150.606;-16.223;-51.707;-88.531;26.637;42.562;-13.235;-48.883;-66.864;;-18.302;-3.997;-51.058
1050;-32.102;-100.153;-138.364;-3.862;-41.107;-58.4;26.149;58.793;-9.98;-42.847;-56.322;;-4.822;8.258;-38.731
1060;-34.041;-84.415;-125.984;7.197;-35.318;-35.446;25.498;75.011;-6.754;-36.799;-48.133;;4.739;20.753;-28.926
1070;-36.083;-75.313;-113.077;13.167;-31.5;-19.03;24.84;84.777;-4.458;-29.367;-39.936;;9.604;29.31;-19.322
1080;-38.569;-65.454;-99.985;20.024;-26.546;-1.386;24.827;88.672;-2.671;-21.927;-31.732;;14.531;34.609;-11.986
1090;-37.987;-58.933;-87.05;26.586;-22.795;10.341;25.012;92.191;-0.855;-17.36;-23.501;;20.263;37.754;-4.82
1100;-36.901;-52.539;-62.848;31.93;-21.562;17.173;25.423;96.579;1.162;-12.787;-15.263;;23.583;39.006;-0.114
1110;-34.622;-47.401;-38.705;35.106;-22.029;21.599;26.397;100.579;3.488;-7.723;-12.06;;24.905;41.241;4.249
1120;-30.042;-43.664;-22.943;37.114;-22.383;24.807;27.085;103.128;5.096;-2.649;-8.85;;26.222;43.971;8.868
1130;-25.468;-39.942;-9.516;37.615;-21.837;25.075;27.942;105.533;6.031;0.753;-5.636;;27.506;48.404;13.33
1140;-19.628;-37.128;-3.556;36.969;-18.875;23.752;29.784;107.966;6.888;5.202;-2.759;;29.065;52.997;18.329
1150;-13.74;-33.77;0.03;37.23;-15.1;23.62;34.58;109.04;7.91;9.57;0.13;;31.52;53.65;23.63
1160;-7.904;-31.077;3.461;38.706;-10.623;24.97;37.307;109.821;9.373;13.947;3.111;;35.421;53.322;27.762
1170;-2.177;-27.72;6.72;41.874;-7.555;26.876;38.339;111.618;10.806;16.933;6.102;;39.081;53.237;31.831
1180;4.42;-23.81;8.988;46.715;-5.955;26.457;41.019;113.443;12.619;20.848;9.105;;43.491;54.139;32.409
1190;9.945;-19.408;10.093;51.235;-4.071;24.823;43.082;115.168;14.232;24.848;12.138;;47.792;53.525;32.913
1200;15.945;-17.619;10.43;53.501;-0.844;21.505;44.718;115.865;15.964;27.815;17.461;;52.476;52.33;32.949
