timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
880;-220.964;-184.208;-94.921;-169.21;;;-120.634;-274.326;-207.577;-95.014;-234.19;;-130.131;-421.285
890;-221.651;-180.647;-83.687;-157.371;;;-105.598;-262.108;-207.718;-96.703;-211.855;;-105.674;-405.019
900;-218.973;-176.347;-73.76;-147.573;;;-91.333;-251.6;-207.733;-98.853;-189.227;;-77.693;-382.56
910;-219.934;-172.645;-65.783;-138.753;;;-79.845;-243.493;-207.372;-97.697;-168.678;;-51.701;-343.99
920;-220.917;-166.273;-58.564;-130.506;;;-69.561;-237.617;-208.304;-97.012;-148.372;;-28.543;-310.313
930;-224.568;-156.402;-52.098;-121.816;;;-59.564;-232.457;-209.248;-97.812;-130.218;;-11.833;-284.333
940;-231.879;-147.988;-43.965;-113.015;;;-51.175;-228.061;-211.957;-99.318;-112.175;;0.121;-269.608
950;-238.612;-138.675;-35.363;-104.787;;;-43.85;-223.325;-213.563;-101.075;-94.712;;11.075;-256.175
960;-241.15;-131.46;-27.543;-97.298;;;-35.478;-218.349;-213.64;-102.245;-78.871;;22.212;-243.522
970;-241.487;-124.632;-21.203;-90.788;;;-25.469;-213.737;-214.089;-104.575;-65.637;;33.679;-228.51
980;-241.906;-117.853;-18.045;-84.403;;;-15.329;-208.886;-213.877;-107.293;-52.788;;44.328;-214.608
990;-237.815;-110.518;-15;-78.524;;;-9.857;-204.274;-213.857;-109.964;-43.619;;52.97;-198.435
1000;-231.341;-103.795;-13.315;-72.671;;;-4.828;-200.256;-215.219;-112.574;-35.127;;60.706;-186.132
1010;-213.569;-90.787;3.427;-54.209;;;19.979;-181.436;-211.784;-114.768;-8.984;;92.106;-157.077
1020;-194.24;-78.318;20.169;-35.743;;;45.855;-161.554;-208.519;-116.797;18.578;;122.704;-132.551
1030;-182.571;-69.248;28.573;-19.638;;;66.257;-140.077;-205.822;-118.78;45.495;;145.052;-116.558
1040;-177.999;-62.019;37.556;-7.827;;;79.736;-120.931;-203.225;-120.696;72.229;;162.058;-100.673
1050;-172.784;-52.747;43.48;4.016;;;90.024;-107.051;-199.033;-122.009;97.518;;178.307;-85.884
1060;-171.351;-44.271;46.889;10.994;;;100.829;-92.71;-191.011;-123.171;118.749;;189.771;-69.8
1070;-168.191;-36.093;50.182;16.157;;;112.748;-83.283;-186.449;-124.056;126.229;;196.349;-57.32
1080;-164.006;-28.684;52.781;21.862;;;124.111;-73.615;-181.342;-126.012;128.274;;202.178;-45.225
1090;-154.73;-20.446;53.255;27.593;;;135.176;-66.749;-176.157;-127.189;130.32;;202.933;-32.246
1100;-146.28;-12.762;53.775;33.52;;;143.484;-61.206;-169.802;-128.373;129.021;;200.886;-16.659
1110;-137.545;-1.279;52.436;39.913;;;147.235;-57.95;-164.145;-129.86;128.451;;198.068;-2.403
1120;-129.216;10.097;49.978;45.753;;;149.043;-55.154;-157.617;-130.901;127.759;;193.274;7.842
1130;-118.164;21.085;47.711;51.682;;;149.908;-52.652;-151.24;-130.897;128.467;;187.522;16.105
1140;-104.307;30.941;42.778;56.629;;;148.658;-50.372;-144.984;-130.799;129.2;;182.2;25.223
1150;-91.06;42.62;37.44;62.2;;;146.64;-48.45;-138.72;-131.38;127.51;;176.06;33.22
1160;-75.646;50.692;31.765;69.128;;;146.218;-46.037;-134.583;-134.001;124.493;;169.208;28.309
1170;-63.367;56.773;26.512;75.836;;;145.726;-42.962;-131.959;-137.513;120.029;;164.089;22.882
1180;-48.503;62.366;21.32;83.303;;;145.067;-38.995;-129.605;-140.117;113.863;;160.756;16.447
1190;-30.992;65.975;15.191;88.36;;;147.18;-33.751;-125.803;-139.829;106.266;;159.91;14.636
1200;-11.998;68.33;7.575;93.539;;;150.409;-29.259;-119.663;-139.356;99.606;;157.049;13.419
1210;1.128;72.031;-0.07;96.294;;;149.869;-25.827;-113.838;-137.098;92.754;;152.006;15.477
1220;12.611;75.353;-6.614;98.237;;;146.994;-22.178;-107.804;-133.811;87.26;;146.053;18.343
1230;24.688;78.188;-9.052;100.026;;;140.373;-17.107;-104.562;-132.341;80.941;;139.913;20.78
