timepoints (min);27: frq9-.1;28: frq9-.2;29: frq9-.3;30: frq10-.1;31: frq10-.2;32: frq10-.3;33: wc-1+.1;34: wc-1+.2;35: wc-1+.3;36: wc-1-.1;37: wc-1-.2;38: wc-1-.3;39: wc-2-.1;40: wc-2-.2;41: wc-2-.3
880;-145.254;-62.164;-80.26;-123.11;-181.9;-183.787;-15.628;44.37;9.597;-221.854;-124.959;-210.203;-35.434;-104.233;-49.41
890;-138.83;-63.257;-81.784;-113.307;-174.782;-166.905;-2.488;46.201;21.836;-215.319;-123.701;-195.562;-35.629;-105.243;-50.629
900;-133.36;-64.32;-83.213;-104.413;-168.84;-152.28;9.76;47.253;30.68;-209.227;-124.173;-183.027;-35.853;-106.227;-48.173
910;-128.49;-65.355;-84.605;-96.655;-162.711;-139.52;20.461;48.299;38.174;-202.997;-125.102;-171.638;-36.243;-107.184;-45.23
920;-121.257;-66.026;-85.961;-90.215;-157.446;-120.382;29.883;49.282;44.976;-196.54;-124.5;-163.05;-37.704;-108.117;-42.771
930;-114.885;-65.402;-86.333;-84.509;-152.115;-103.363;37.718;50.154;52.038;-189.979;-124.077;-155.568;-39.056;-106.816;-40.876
940;-107.632;-64.895;-86.789;-79.468;-147.442;-87.498;46.16;50.75;59.47;-183.614;-120.623;-150.081;-40.464;-105.74;-37.712
950;-101.175;-64.175;-87.313;-75.65;-143.212;-73.162;53.837;51.213;66.8;-176.438;-117.1;-146.788;-41.787;-104.85;-34.85
960;-95.792;-62.021;-87.889;-72.261;-139.508;-60.616;59.295;51.527;73.564;-170.145;-110.547;-143.958;-43.183;-104.118;-32.247
970;-91.12;-60.083;-87.176;-68.926;-136.487;-48.844;63.641;52.064;79.226;-164.327;-104.363;-141.443;-44.509;-103.52;-31.186
980;-86.932;-58.501;-86.632;-65.897;-133.87;-40.944;66.325;51.972;83.298;-159.093;-98.759;-139.233;-45.771;-100.166;-29.351
990;-83.417;-56.536;-86.232;-61.661;-132.577;-34.012;68.833;52.018;84.982;-154.363;-94.619;-136.351;-47.071;-97.149;-27.607
1000;-81.984;-55.224;-84.544;-57.774;-131.584;-31.04;70.129;51.767;86.308;-149.704;-91.165;-132.499;-47.798;-94.426;-27.066
1010;-77.159;-53.387;-82.393;-48.347;-124.11;-20.376;85.399;54.58;101.093;-135.051;-84.568;-121.239;-48.225;-90.96;-25.78
1020;-73.461;-51.73;-80.208;-36.96;-116.561;-12.666;101.233;57.35;116.655;-119.494;-78.191;-110.026;-47.751;-87.474;-24.506
1030;-69.731;-50.338;-77.429;-25.606;-109.959;-4.586;110.609;58.935;126.777;-103.111;-71.634;-99.739;-47.255;-84.285;-23.245
1040;-66.104;-49.16;-73.977;-14.331;-103.291;3.49;117.929;58.637;134.906;-88.066;-64.34;-89.424;-46.616;-79.711;-22.557
1050;-61.204;-47.958;-70.507;-3.056;-96.309;11.816;124.513;57.591;143.033;-76.073;-57.064;-78.68;-45.24;-75.111;-22.516
1060;-56.185;-46.721;-67.02;6.22;-92.524;20.116;128.808;55.645;149.084;-63.904;-49.973;-68.509;-44.133;-70.487;-22.469
1070;-49.936;-45.341;-64.269;15.5;-85.938;29.798;130.846;52.789;152.683;-53.49;-45.636;-57.703;-42.404;-65.838;-22.417
1080;-43.658;-43.94;-61.498;20.223;-80.899;37.604;130.84;49.647;153.448;-46.422;-42.692;-51.128;-40.654;-61.167;-22.846
1090;-38.172;-42.528;-58.71;24.955;-75.803;44.537;130.514;46.415;152.829;-40.71;-39.725;-46.805;-40.291;-56.735;-23.256
1100;-33.173;-40.535;-56.503;29.392;-72.175;47.122;128.861;43.215;151.861;-33.293;-37.032;-43.251;-38.109;-52.288;-23.328
1110;-28.142;-38.522;-54.279;32.523;-69.208;48.477;125.787;40.049;149.263;-26.844;-34.278;-40.717;-35.909;-47.827;-23.487
