timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
900;-263.153;-168.574;-125.477;225.919;-73.955;-98.659;-217.974;-158.172;-197.739;-277.738;-109.427;-207.021;-161.594;-237.819;-126.312
910;-251.527;-157.9;-118.292;226.716;-69.22;-95.778;-205.873;-152.5;-192.647;-264.226;-102.541;-193.448;-150.629;-228.788;-122.207
920;-242.347;-148.707;-113.147;227.64;-65.547;-93.2;-195.56;-145.733;-188.227;-252.52;-98.307;-181.773;-141.213;-221.107;-118.96
930;-234.204;-140.75;-108.648;220.938;-62.434;-90.247;-186.214;-140.243;-183.184;-241.743;-94.819;-171.049;-133.053;-210.444;-114.957
940;-226.412;-133.953;-103.318;215.222;-58.95;-86.787;-178.032;-136.922;-179.067;-232.503;-90.801;-161.493;-124.727;-201.145;-111.7
950;-219.846;-127.731;-100.739;204.88;-55.598;-83.397;-170.282;-134.889;-175.017;-224.632;-87.051;-153.064;-117.393;-192.979;-108.06
960;-212.277;-121.413;-98.392;195.747;-52.999;-80.378;-163.272;-133.35;-171.244;-217.579;-83.647;-145.328;-110.893;-185.762;-104.656
970;-205.6;-115.738;-96.137;184;-51.387;-77.55;-157.15;-131.3;-167.625;-211.338;-79.725;-138.425;-105.1;-179.438;-101.1
980;-198.944;-110.586;-94.176;170.57;-50.898;-74.896;-151.563;-129.321;-164.624;-205.349;-76.543;-132.085;-99.247;-171.035;-97.935
990;-192.982;-106.052;-91.445;158.374;-50.255;-72.502;-145.895;-127.634;-161.922;-199.283;-73.765;-126.382;-93.98;-163.472;-94.752
1000;-186.954;-103.077;-89.819;147.036;-49.477;-70.21;-140.795;-126.202;-159.85;-193.926;-71.406;-121.131;-89.221;-156.636;-91.389
1010;-181.488;-100.31;-88.071;136.649;-48.464;-68.024;-135.863;-125.06;-157.768;-188.601;-69.054;-116.042;-84.905;-150.685;-88.196
1020;-176.351;-98.268;-87.525;128.016;-47.824;-65.856;-131.122;-124.127;-155.369;-183.172;-66.454;-111.376;-81.209;-145.282;-85.391
1030;-153.811;-79.506;-71.402;115.311;-34.233;-56.273;-111.553;-113.542;-141.026;-158.314;-51.352;-90.789;-67.88;-130.886;-76.176
1040;-131.035;-59.979;-54.119;101.88;-21.062;-46.76;-92.014;-102.675;-126.76;-133.714;-36.235;-70.179;-54.531;-116.46;-66.114
1050;-108.487;-50.54;-45.71;87.964;-14.641;-40.644;-73.631;-95.361;-114.782;-116.694;-27.048;-53.255;-41.162;-102.007;-56.18
1060;-95.734;-40.178;-34.54;73.184;-14.055;-36.738;-60.624;-89.899;-106.475;-103.28;-20.906;-36.31;-28.114;-87.752;-49.996
1070;-81.769;-34.542;-28.68;58.891;-12.967;-32.233;-47.593;-83.56;-100.433;-92.978;-17.073;-25.993;-20.924;-73.467;-43.813
1080;-73.434;-28.542;-23.075;46.553;-14.411;-28.248;-39.977;-79.187;-95.31;-83.359;-13.34;-15.66;-13.713;-63.791;-40.22
1090;-64.167;-24.177;-22.536;39.158;-15.981;-24.747;-34.454;-74.265;-90.211;-75.951;-11.658;-9.965;-6.482;-54.087;-36.617
