timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
710;-346.054;-367.843;-280.007;-58.057;-292.385;;-137.975;-101.575;16.06;132.897;-298.496;-119.54;-301.918;-197.45;-307.688
720;-331.365;-367.622;-284.614;-52.201;-277.905;;-130.875;-94.622;17.446;142.907;-282.313;-98.404;-293.724;-201.693;-297.598
730;-315.293;-366.08;-289.467;-45.507;-265.36;;-124.24;-84.987;17.027;150.48;-268.253;-85.293;-281.64;-204.067;-289.96
740;-301.674;-365.454;-293.865;-39.207;-254.424;;-118.441;-76.609;16.661;157.339;-253.822;-73.987;-271.309;-206.533;-283.599
750;-288.29;-364.208;-298.393;-37.145;-244.748;;-112.834;-69.458;15.729;160.622;-241.087;-64.031;-260.253;-206.257;-280.175
760;-276.551;-364.923;-302.329;-35.03;-235.564;;-107.624;-63.162;15.085;162.385;-227.291;-59.701;-250.671;-207.671;-277.368
770;-265.322;-365.993;-306.394;-30.767;-227.373;;-102.933;-60.11;14.522;166.452;-214.907;-55.502;-245.438;-209.462;-277.88
780;-254.825;-366.537;-310.412;-29.112;-219.463;;-98.063;-57.413;14.788;167.163;-200.663;-52.762;-241.037;-212.013;-278.575
790;-244.713;-367.393;-314.508;-26.224;-212.309;;-93.538;-54.956;15.217;165.178;-187.713;-49.979;-236.993;-215.388;-273.035
800;-236.246;-367.961;-317.43;-23.018;-205.808;;-89.611;-52.397;15.124;164.36;-174.615;-47.42;-233.531;-216.027;-268.149
810;-227.979;-368.848;-320.491;-20.536;-198.195;;-83.86;-50.095;15.055;163.644;-162.63;-45.963;-228.779;-216.498;-265.145
820;-221.458;-369.375;-323.565;-18.601;-191.202;;-78.286;-47.994;15.869;163.274;-150.685;-44.56;-224.536;-212.786;-262.476
830;-215.492;-368.555;-326.642;-14.906;-184.744;;-73.054;-46.089;17.285;163.151;-139.664;-43.125;-220.115;-207.689;-258.539
840;-197.932;-361.803;-328.753;0.077;-166.384;;-54.112;-36.332;21.073;170.726;-106.093;-22.678;-196.912;-193.401;-251.023
850;-180.8;-354.33;-331.024;8.164;-148.029;;-34.173;-26.563;23.498;178.085;-72.528;-0.711;-172.57;-178.452;-238.459
860;-166.2;-349.81;-333.927;13.716;-129.612;;-22.313;-16.874;22.084;182.543;-38.782;22.284;-158.289;-168.835;-225.603
870;-151.415;-345.788;-335.65;18.039;-111.482;;-13.256;-7.373;23.069;183.778;-17.721;36.618;-142.811;-159.182;-214.306
880;-138.316;-342.416;-337.096;21.187;-93.358;;-2.524;-4.14;24.049;183.56;2.216;51.871;-132.762;-150.944;-202.862
890;-126.59;-338.952;-337.777;25.21;-73.461;;7.243;-0.961;25.558;182.058;14.82;58.705;-122.294;-142.686;-191.901
900;-118.023;-332.907;-339.788;31.88;-63.573;;18.373;2.23;26.31;179.57;26.218;65.08;-113.497;-144.288;-178.31
910;-109.602;-327.41;-341.29;38.848;-53.735;;29.662;3.394;26.28;174.446;35.32;65.11;-104.767;-145.881;-165.252
920;-100.546;-320.715;-342.085;42.699;-42.584;;40.292;4.569;25.922;167.446;45.79;65.849;-98.233;-148.976;-152.86
930;-94.672;-314.474;-341.32;45.036;-32.68;;51.539;5.819;24.886;157.503;53.92;67.063;-91.537;-150.192;-139.562
940;-85.974;-306.287;-340.772;46.394;-22.834;;63.425;7.639;24.315;145.626;62.961;64.858;-83.04;-146.65;-126.419
950;-79.165;-294.302;-337.493;46.823;-14.193;;75.366;8.188;23.742;134.136;71.663;63.245;-74.678;-142.799;-120.134
960;-70.375;-283.465;-335.057;48.036;-5.558;;86.983;8.879;21.74;121.645;80.795;60.744;-67.231;-134.242;-112.2
970;-62.24;-272.097;-331.325;48.956;2.636;;97.239;9.537;19.394;107.417;89.221;57.675;-60.055;-126.213;-106.209
980;-56.37;-261.72;-326.89;48.94;10.78;;107.38;8;19.25;93.83;98.16;58.06;-57.47;-119.43;-98.84
990;-50.552;-252.298;-323.455;48.745;18.916;;115.713;6.469;19.102;80.911;105.743;57.353;-55.204;-111.772;-92.017
1000;-45.437;-244.078;-318.523;49.742;29;;121.353;5.131;19.48;69.327;113.36;56.096;-53.083;-106.519;-83.125
1010;-40.682;-235.103;-314.085;49.901;38.632;;126.686;3.234;19.092;58.268;118.822;58.04;-50.938;-96.982;-74.409
1020;-36.383;-225.029;-308.132;47.693;48.186;;129.259;3.259;18.7;45.754;124.221;60.8;-45.272;-88.056;-63.939
1030;-29.964;-214.699;-302.276;46.996;56.21;;130.4;3.162;18.025;35.88;126.507;64.36;-39.604;-77.143;-46.96
1040;-22.213;-202.486;-295.419;45.999;64.224;;131.514;2.509;16.611;26.822;128.959;68.522;-32.638;-66.21;-34.764
1050;-13.216;-186.836;-289.621;44.407;73.367;;131.582;1.54;15.747;15.837;130.776;73.544;-25.677;-58.107;-23.352
1060;-4.097;-171.195;-280.992;42.37;81.222;;128.51;0.297;14.88;4.891;132.56;76.552;-19.484;-49.99;-10.088
1070;5.49;-156.339;-272.317;41.481;89.067;;125.301;-0.937;14.058;-6.18;133.737;79.977;-13.298;-42.938;3.344
1080;16.393;-142.505;-260.044;40.549;96.607;;122.165;-1.522;12.922;-18.238;134.885;83.264;-9.425;-35.869;15.185
