timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
710;-52.572;-203.84;-82.009;-34.973;-220.054;-84.777;-113.993;-109.116;-53.734;-194.932;-42.042;-174.349;-76.905;-114.967;-237.136
720;-51.031;-190.224;-80.025;-36.054;-208.479;-80.376;-113.359;-103.292;-51.593;-188.546;-38.014;-167.307;-73.178;-109.432;-226.681
730;-50.987;-178.12;-79.573;-36.653;-190.04;-76.733;-112.84;-97.773;-49.76;-177.56;-34.56;-161.613;-70.387;-104.64;-217.707
740;-51.115;-167.523;-79.299;-37.237;-173.984;-73.816;-113.02;-92.362;-48.263;-168.007;-31.586;-154.717;-68.059;-99.243;-209.036
750;-51.262;-158.167;-79.414;-37.805;-159.886;-71.293;-112.95;-87.568;-46.981;-159.631;-28.993;-148.814;-64.457;-93.914;-201.442
760;-50.59;-147.346;-80.415;-38.359;-149.197;-69.265;-113.064;-83.081;-45.889;-152.235;-26.718;-143.731;-61.65;-89.496;-191.09
770;-50.294;-137.444;-81.42;-38.899;-139.855;-67.48;-112.749;-78.849;-44.931;-145.662;-24.446;-140.141;-59.041;-85.961;-181.861
780;-48.375;-128.512;-82.413;-39.063;-131.512;-65.113;-112.263;-75;-44.25;-138.563;-22.425;-137.012;-56.775;-81.9;-173.6
790;-46.915;-120.413;-81.974;-39.222;-124.025;-62.857;-111.871;-70.533;-43.644;-132.171;-20.619;-134.277;-55.302;-79.171;-164.203
800;-45.643;-111.85;-81.659;-39.378;-121.713;-60.829;-111.774;-67.225;-42.782;-126.39;-18.717;-131.877;-53.743;-77.542;-155.273
810;-43.461;-103.836;-81.448;-39.53;-119.661;-57.525;-112.015;-63.724;-42.012;-121.139;-16.982;-132.233;-52.826;-76.429;-146.466
820;-41.524;-96.464;-79.714;-39.679;-117.833;-54.518;-112.435;-60.512;-40.637;-115.44;-15.768;-132.738;-52.012;-75.994;-138.905
830;-39.56;-89.659;-78.181;-39.482;-115.802;-51.292;-112.765;-57.569;-39.379;-110.233;-14.652;-133.369;-51.181;-75.002;-131.096
840;-31.884;-72.903;-74.073;-39.291;-98.52;-44.351;-109.765;-43.663;-34.793;-96.391;-10.75;-122.479;-45.247;-68.723;-108.489
850;-24.664;-56.259;-69.814;-39.103;-81.221;-37.881;-106.418;-29.315;-30.204;-82.536;-6.848;-111.556;-39.477;-62.301;-86.214
860;-17.353;-39.622;-65.775;-38.92;-64.186;-31.369;-103.628;-19.53;-25.92;-68.667;-2.73;-100.602;-33.217;-54.707;-63.945
870;-16.061;-22.991;-61.716;-38.742;-46.788;-24.849;-100.896;-13.428;-22.99;-54.165;1.384;-89.619;-28.798;-47.203;-52.529
880;-15.947;-6.887;-58.773;-38.811;-40.622;-19.198;-98.616;-6.942;-20.593;-39.647;4.813;-84.582;-24.049;-39.524;-41.087
890;-14.055;0.798;-57.26;-38.879;-34.45;-15.376;-96.321;-2.645;-19.669;-33.113;8.239;-79.521;-20.729;-31.802;-33.196
900;-11.868;8.487;-55.736;-38.946;-26.009;-11.825;-93.369;1.033;-18.427;-26.563;8.82;-74.436;-17.522;-25.832;-25.284
910;-13.386;16.182;-55.46;-39.011;-23.765;-10.637;-90.54;3.926;-17.695;-19.923;9.215;-69.259;-16.557;-21.273;-17.398
920;-13.332;24.841;-53.941;-39.074;-21.518;-9.56;-87.126;7.081;-16.364;-13.271;9.609;-67.657;-14.99;-16.187;-9.487
930;-13.128;29.617;-52.419;-39.474;-12.827;-8.387;-83.703;9.571;-15.183;-6.606;10.004;-66.029;-14.219;-12.844;-4.232
940;-12.076;34.4;-51.573;-38.825;-4.363;-7.687;-79.851;12.041;-14.271;-1.13;9.879;-64.378;-13.934;-11.727;1.052
950;-10.891;39.192;-50.518;-38.167;4.029;-7.249;-75.75;14.469;-13.556;4.359;9.754;-64.187;-12.966;-11.148;5.536
