timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
710;-231.058;-204.532;-178.312
720;-226.625;-194.222;-174.301
730;-216.64;-185.507;-170.96
740;-207.957;-177.539;-162.345
750;-200.345;-169.169;-154.854
760;-193.624;-161.846;-148.359
770;-187.651;-155.402;-142.644
780;-179.375;-150.1;-135.938
790;-171.954;-145.183;-129.951
800;-165.269;-140.823;-124.655
810;-159.223;-136.941;-119.893
820;-149.321;-134.131;-115.595
830;-140.311;-130.228;-112.584
840;-126.17;-115.423;-104.197
850;-111.992;-100.57;-95.901
860;-97.776;-85.409;-87.579
870;-83.269;-69.81;-79.231
880;-68.72;-63.573;-70.58
890;-55.371;-57.301;-64.785
900;-41.984;-50.45;-59.054
910;-28.614;-43.656;-53.3
920;-20.166;-38.242;-47.522
930;-11.682;-32.806;-41.042
940;-6.243;-27.236;-36.94
950;-0.771;-22.049;-32.797
960;4.713;-20.285;-28.634
970;10.23;-18.505;-24.451
980;12.1;-17.11;-19.21
990;14.002;-16.691;-17.522
1000;15.935;-17.251;-15.819
1010;20.377;-17.788;-14.102
1020;24.842;-18.487;-11.571
1030;26.608;-17.962;-10.347
1040;28.395;-17.614;-9.156
1050;30.625;-17.243;-7.952
1060;32.873;-16.85;-6.735
1070;30.059;-15.715;-5.505
1080;27.262;-16;-3.382
1090;24.481;-16.265;-1.382
1100;21.851;-16.375;0.632
1110;19.232;-16.789;2.66
1120;16.065;-17.587;4.142
1130;12.91;-18.369;5.357
1140;9.696;-18.842;6.524
1150;6.294;-19.785;7.705
1160;2.904;-20.638;8.899
1170;4.485;-21.481;10.306
1180;6.077;-22.307;10.937
1190;6.838;-22.563;11.582
1200;7.61;-22.411;12.241
1210;8.314;-22.25;13.513
1220;9.028;-22.283;14.798
1230;9.752;-20.304;15.016
1240;10.348;-17.314;15.247
1250;10.949;-14.313;15.491
1260;9.435;-8.976;16.187
1270;7.926;-3.629;16.095
1280;6.462;0.526;16.277
1290;5.005;4.69;16.466
1300;3.236;8.962;16.663
1310;1.474;13.239;17.147
1320;-0.281;16.801;17.638
1330;-2.713;20.367;18.01
1340;-5.131;22.328;18.391
1350;-7.457;24.293;18.78
1360;-9.769;26.581;19.378
1370;-11.796;28.953;20.601
1380;-12.334;32.607;21.831
1390;-12.864;36.264;23.069
1400;-13.186;40.404;24.553
1410;-13.501;44.546;26.148
1420;-10.611;50.89;27.549
1430;-7.717;57.189;28.954
1440;-6.338;59.783;28.335
1450;-4.959;62.378;28.116
1460;-3.579;64.052;27.297
1470;-1.203;65.727;26.512
1480;1.174;66.774;25.727
1490;4.204;67.821;25.439
1500;7.234;66.868;25.539
1510;10.465;63.674;25.2
1520;14.019;60.723;24.861
1530;17.334;57.785;24.604
1540;21.179;54.407;24.761
1550;25.025;51.149;24.839
1560;29.457;48.484;24.739
1570;33.888;45.819;24.64
1580;39.194;44.948;24.541
1590;44.501;45.716;24.372
1600;49.807;46.657;24.204
1610;53.288;47.597;23.836
1620;56.77;49.298;23.406
1630;59.24;49.719;23.203
1640;61.71;50.036;23.2
1650;63.741;50.353;22.999
1660;65.73;50.67;22.797
1670;65.634;48.788;22.596
1680;65.539;47.153;22.443
1690;65.444;45.181;22.89
1700;64.389;42.608;22.937
1710;63.582;40.956;23.004
1720;61.792;39.372;23.072
1730;60.001;37.789;23.188
1740;58.531;34.839;23.342
1750;56.771;33.888;23.177
1760;54.811;32.924;23.011
1770;51.996;31.96;22.845
1780;49.181;30.956;23.11
1790;46.566;30.392;23.375
1800;43.964;29.469;23.72
1810;40.977;28.546;24.099
1820;37.989;28.623;24.479
1830;35.001;27.101;25.237
1840;30.494;25.406;26.499
1850;25.641;23.91;27.761
1860;22.634;21.975;29.023
1870;19.628;19.28;30.658
1880;17.661;16.792;30.932
1890;15.694;14.303;31.007
1900;13.967;10.71;30.909
1910;12.24;7.117;30.811
1920;10.513;3.648;30.713
1930;11.186;0.179;31.088
1940;11.914;-3.45;30.863
1950;13.589;-6.782;30.639
1960;15.263;-10.17;30.559
1970;15.418;-13.997;30.062
