timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;;26: frq10+.1;27: frq10+.2;28: frq10+.3
690;-243.133;-194.326;-276.246;-50.727;-187.949;;-134.739;-246.375;-202.964;-172.178;-114.221;;-83.48;-116.385;-65.242
700;-230.168;-189.396;-265.021;-46.942;-175.693;;-128.782;-234.905;-201.459;-154.809;-103.423;;-78.755;-111.865;-61.168
710;-214.933;-184.84;-254.133;-43.627;-164.547;;-123.72;-225.067;-200.467;-140.813;-94.013;;-74.733;-108.427;-58.547
720;-201.428;-181.181;-244.464;-40.076;-154.786;;-120.141;-215.503;-197.954;-126.826;-85.997;;-70.895;-103.813;-56.247
730;-187.887;-176.759;-234.235;-36.903;-145.927;;-117.084;-207.155;-195.969;-114.331;-78.651;;-66.176;-96.387;-52.935
740;-174.667;-171.244;-222.996;-34.769;-138.128;;-114.226;-199.893;-194.026;-101.637;-72.423;;-61.026;-93.991;-48.769
750;-163.616;-165.369;-210.742;-32.739;-128.787;;-110.682;-193.49;-192.036;-89.497;-67.217;;-57.327;-90.658;-44.699
760;-153.062;-161.038;-199.588;-31.125;-120.163;;-107.163;-188.538;-190.837;-78.25;-62.588;;-54.463;-87.725;-42.013
770;-142.325;-157.042;-189.938;-29.755;-112.402;;-103.243;-184.099;-189.205;-68.563;-59.037;;-52.138;-84.801;-39.589
780;-133.884;-152.357;-179.45;-28.487;-103.307;;-99.705;-179.412;-187.795;-60.905;-55.528;;-50.242;-82.559;-37.863
790;-127.685;-148.529;-167.895;-26.735;-94.969;;-96.777;-175.151;-185.633;-54.007;-52.251;;-48.376;-80.181;-35.818
800;-121.821;-145.315;-157.25;-25.113;-86.274;;-94.113;-169.845;-183.69;-47.345;-48.232;;-46.601;-76.304;-33.649
810;-116.238;-142.536;-147.341;-23.565;-78.179;;-91.704;-164.984;-181.779;-40.224;-43.619;;-44.8;-71.358;-31.536
820;-94.486;-126.054;-118.658;-19.8;-56.358;;-83.151;-143.893;-172.449;-10.271;-26.297;;-38.113;-62.733;-27.291
830;-72.864;-109.8;-89.507;-14.842;-34.464;;-74.814;-122.801;-163.396;18.977;-8.917;;-31.344;-54.571;-22.729
840;-57.526;-96.855;-68.826;-10.016;-18.752;;-66.47;-106.444;-154.442;38.583;5.432;;-24.621;-46.157;-18.638
850;-44.859;-88.233;-53.279;-5.915;-3.052;;-58.369;-90.084;-150.643;53.278;15.08;;-18.12;-37.53;-14.638
860;-30.918;-83.656;-40.436;-1.378;9.109;;-50.26;-82.304;-146.198;67.622;26.267;;-11.66;-29.371;-10.56
870;-17.8;-78.301;-26.567;2.643;23.006;;-44.805;-74.517;-142.901;76.043;35.502;;-5.157;-23.17;-6.087
880;-7.49;-75.579;-12.663;6.62;35.11;;-39.346;-68.203;-138.998;81.987;41.827;;-1.102;-16.713;-1.893
890;0.167;-74.2;1.219;10.374;47.674;;-36.912;-61.887;-136.471;87.701;48.086;;0.897;-10.556;1.188
900;8.473;-71.763;13.811;14.323;60.05;;-34.477;-54.765;-134.018;92.106;54.892;;1.428;-4.046;3.834
910;15.832;-67.96;24.977;18.349;70.491;;-33.299;-48.446;-131.876;93.642;60.076;;2.434;2.663;6.771
920;23.41;-63.077;35.86;21.329;79.807;;-31.08;-40.962;-130.121;93.954;65.189;;2.967;7.515;9.603
930;31.777;-56.592;45.179;24.342;87.463;;-29.284;-35.166;-127.955;93.421;68.256;;2.895;10.468;11.919
940;40.33;-50.007;55.187;26.585;94.703;;-27.25;-29.311;-125.527;93.462;72.006;;4.177;12.848;13.268
950;47.23;-44.357;64.864;28.425;101.268;;-24.899;-24.229;-121.968;93.435;75.01;;6.231;15.707;14.349
960;50.62;-38.67;75.16;30.16;106.1;;-22.97;-19.14;-118.09;93.69;79.3;;7.85;18.07;15.95
970;53.841;-33.657;86.711;31.333;110.998;;-20.688;-14.785;-114.409;92.713;83.574;;9.224;19.671;17.61
980;56.242;-27.758;97.972;32.505;114.761;;-17.621;-10.558;-110.695;92.517;87.855;;9.755;19.867;18.428
990;59.92;-24.029;107.945;34.195;117.407;;-14.561;-6.468;-107.259;91.378;91.915;;9.835;23.259;18.495
1000;63.508;-20.505;117.945;36.003;118.273;;-12.105;-1.537;-103.1;89.949;96.601;;9.964;25.148;18.172
1010;67.709;-15.901;127.914;37.943;117.691;;-9.653;4.375;-98.608;88.189;101.615;;10.945;26.981;18.539
1020;70.954;-9.104;138.241;39.282;117.36;;-7.602;11.981;-93.032;88.132;107.112;;12.406;28.061;18.895
1030;76.045;-1.429;147.562;40.537;115.457;;-5.557;19.21;-87.716;89.11;112.329;;13.723;29.625;19.45
1040;82.65;6.638;155.6;40.953;113.468;;-1.822;27.965;-81.753;89.158;116.634;;14.869;30.667;19.115
1050;89.394;15.705;163.872;41.398;111.39;;1.906;35.265;-75.892;87.659;119.104;;15.704;32.248;18.392
1060;97.273;25.795;172.087;41.804;111.224;;5.782;42.953;-70.182;85.216;120.733;;16.438;35.769;17.867
1070;105.495;37.125;179.466;42.13;111.548;;9.408;49.547;-63.103;82.486;121.974;;16.462;39.067;17.264
1080;113.508;49.745;186.367;41.39;112.786;;13.145;55.622;-55.495;80.312;123.268;;16.709;40.605;15.675
1090;121.222;63.357;192.736;41.009;112.977;;16.115;61.241;-45.962;78.353;123.291;;16.605;39.465;14.472
1100;127.741;76.73;198.714;40.653;112.56;;18.318;67.652;-36.154;76.067;121.651;;15.982;35.885;13.228
1110;131.092;89.979;203.887;40.174;112.137;;21.358;74.485;-27.066;74.021;121.118;;15.28;34.798;12.656
1120;134.623;103.99;209.572;39.555;107.308;;24.473;81.755;-17.919;73.549;120.158;;14.493;37.104;11.845
1130;139.396;117.613;213.583;38.977;102.295;;28.841;88.57;-9.374;73.392;118.614;;14.838;37.004;11.27
1140;146.229;130.164;215.685;38.079;95.888;;33.525;95.188;1.61;73.706;115.128;;15.07;36.587;10.957
1150;154.135;141.36;217.629;36.611;90.557;;38.84;101.233;12.806;72.478;111.044;;15.183;34.228;10.234
1160;161.962;152.732;220.168;34.27;85.863;;44.152;107.115;26.398;72.05;107.385;;14.19;31.998;9.625
1170;167.748;162.549;222.643;31.919;82.044;;47.561;112.022;40.235;72.282;104.119;;13.998;30.023;9.42
1180;172.354;170.464;226.12;28.654;77.206;;50.964;116.178;54.583;72.56;102.254;;14.132;27.691;9.5
