timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-2+.1;39: wc-2+.2;40: wc-2+.3;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3;44: wc-2-.1;45: wc-2-.2
690;-211.287;-205.573;-132.619;-72.762;-90.521;-97.486;-109.798;-255.063;-141.999;-232.416;-186.818;-104.534;-89.825;-326.555;-314.89
700;-189.228;-189.734;-123.728;-65.973;-83.512;-92.672;-98.971;-240.224;-133.241;-214.236;-175.081;-102.282;-85.125;-309.857;-294.419
710;-173.507;-176.96;-114.84;-59.187;-75.867;-88.173;-89.387;-223.36;-125.72;-198.573;-164.853;-100.107;-81.067;-296.053;-276.787
720;-159.914;-165.336;-106.75;-53.313;-68.77;-84.299;-80.128;-208.819;-119.701;-184.954;-156.822;-97.418;-77.342;-281.493;-259.457
730;-149.334;-150.219;-96.949;-49.173;-62.453;-81.18;-71.629;-196.055;-114.199;-173.014;-151.146;-94.947;-74.444;-268.833;-244.672
740;-140.111;-136.803;-87.838;-46.564;-57.41;-77.457;-64.893;-182.491;-109.338;-162.56;-146.491;-92.697;-72.111;-257.517;-231.645
750;-129.867;-124.983;-78.747;-44.523;-53.034;-74.161;-58.991;-170.41;-102.647;-153.277;-142.132;-90.931;-70.43;-247.528;-220.149
760;-120.35;-115.275;-70.375;-42.563;-48.238;-71.538;-53.875;-159.6;-96.55;-144.987;-137.175;-89.388;-68.912;-237.612;-209.825
770;-111.847;-106.815;-62.801;-40.834;-43.686;-68.591;-49.081;-149.866;-91.049;-139.69;-132.785;-87.778;-67.093;-228.755;-200.568
780;-105.86;-99.35;-56.889;-39.662;-37.051;-65.952;-45.007;-141.242;-86.063;-134.928;-129.972;-86.226;-65.431;-220.661;-192.229
790;-100.483;-91.962;-51.659;-40.775;-32.8;-62.624;-40.693;-133.527;-82.741;-130.631;-128.157;-84.657;-64.828;-212.88;-182.905
800;-99.351;-84.357;-46.571;-41.571;-29.577;-59.292;-36.685;-126.5;-79.625;-126.738;-126.155;-83.381;-63.94;-205.827;-173.923
810;-98.346;-77.798;-41.807;-41.774;-26.231;-56.245;-33.106;-119.555;-76.765;-123.2;-124.165;-82.687;-63.094;-199.414;-165.692
820;-77.401;-53.327;-23.262;-37.458;-17.864;-45.648;-17.447;-96.521;-66.397;-111.848;-101.668;-76.216;-58.114;-180.125;-142.243
830;-56.465;-28.847;-5.075;-31.688;-9.868;-36.046;-1.648;-73.586;-56.164;-100.341;-79.02;-69.523;-52.993;-160.722;-119.298
840;-33.737;-4.413;7.637;-26.782;-0.622;-26.432;14.311;-50.633;-45.926;-88.821;-64.13;-64.557;-47.839;-141.287;-96.33
850;-20.386;9.071;20.377;-21.668;8.639;-21.942;28.146;-28.182;-35.682;-77.289;-56.157;-61.764;-43.274;-121.674;-73.338
860;-3.791;22.6;28.122;-17.182;15.429;-17.047;34.944;-16.604;-29.233;-62.464;-51.622;-59.773;-41.109;-107.393;-58.684
870;6.414;28.898;35.971;-15.91;22.257;-15.095;41.462;-5.013;-22.988;-47.628;-48.65;-56.401;-38.809;-93.767;-44.042
880;16.625;34.923;40.182;-14.177;24.136;-13.353;48.22;6.032;-16.733;-32.78;-47.601;-53.371;-38.587;-80.114;-29.377
890;24.414;37.722;43.966;-13.749;24.795;-11.077;51.056;11.324;-10.47;-17.922;-47.573;-51.948;-38.609;-66.158;-14.692
900;32.224;40.536;43.8;-13.297;25.145;-9.276;52.11;16.63;-6.842;-3.052;-47.677;-50.309;-38.351;-58.263;-5.803
910;35.621;44.019;43.92;-12.192;26.863;-7;52.112;22.229;-3.204;11.827;-47.598;-48.318;-37.354;-50.352;3.101
920;39.04;46.349;44.685;-11.094;27.617;-5.431;52.453;27.843;0.444;12.837;-46.839;-46.074;-36.977;-42.423;12.02
930;42.84;48.955;45.258;-10.489;29.758;-3.614;51.805;30.703;1.101;13.898;-47.123;-44.53;-36.687;-38.809;14.712
940;42.956;50.002;45.36;-12.274;31.618;-2.416;50.822;33.58;1.82;14.967;-49.324;-42.864;-37.774;-33.339;17.602
950;40.326;50.959;45.249;-13.718;31.426;-0.691;49.843;36.473;2.546;16.044;-51.999;-41.134;-38.949;-27.852;20.501
960;38.85;52.04;46.03;-15.8;30.31;0.76;49.39;37.03;3.28;17.65;-54.51;-39.35;-38.84;-22.73;23.41
970;37.395;52.985;46.541;-17.979;29.29;1.535;48.169;37.6;4.822;19.263;-56.375;-37.782;-38.396;-19.305;25.367
980;37.628;50.056;45.259;-20.265;28.346;3.407;46.767;38.382;6.283;20.884;-57.427;-35.773;-38.569;-16.377;27.069
990;37.88;47.133;44.44;-21.826;27.815;4.563;44.878;37.537;7.753;22.513;-56.943;-33.723;-38.01;-13.428;28.784
1000;36.026;43.985;42.542;-23.202;27.346;5.876;42.595;36.905;7.191;24.148;-56.852;-31.505;-35.86;-10.409;31.432
1010;34.183;39.766;40.215;-24.419;26.259;6.707;40.716;36.28;6.59;25.79;-57.345;-29.789;-33.821;-8.211;34.112
1020;31.236;35.132;37.629;-25.787;25.166;7.063;38.589;35.943;5.999;29.249;-57.175;-28.482;-21.11;-5.995;36.805
1030;29.772;32.515;35.859;-26.021;21.713;7.057;36.631;35.744;5.416;32.714;-55.14;-27.135;-18.506;-3.76;39.508
1040;25.791;29.84;34.3;-24.292;20.251;6.497;33.809;35.553;6.202;36.185;-52.4;-25.618;-16.117;-1.724;40.784
1050;26.364;26.223;33.074;-20.665;18.641;5.66;30.988;35.29;7.124;37.622;-50.911;-23.896;-15.35;1.044;42.281
1060;26.935;22.896;31.587;-17.596;17.104;4.742;28.529;34.34;8.053;39.065;-49.911;-21.838;-14.34;3.825;43.785
1070;30.81;20.901;30.557;-14.607;16.994;4.255;26.362;33.4;8.547;40.514;-48.878;-19.897;-12.916;6.917;45.577
1080;34.68;18.917;29.043;-14.535;17.224;4.611;23.967;32.47;9.188;41.969;-47.519;-17.383;-10.444;9.935;46.026
1090;36.066;16.581;27.114;-13.579;15.031;4.922;21.504;31.23;9.835;43.428;-45.304;-15.805;-7.77;14.84;46.488
1100;37.451;15.782;25.156;-12.681;13.311;5.738;18.898;30.553;10.488;44.893;-44.061;-13.51;-4.561;19.752;46.962
1110;35.303;14.974;19.263;-11.499;13.237;5.997;16.143;29.885;10.866;43.083;-42.824;-11.203;-0.437;24.861;48.809
1120;33.176;15.102;14.625;-10.477;13.015;6.514;12.909;29.265;11.154;41.27;-40.513;-9.687;3.68;32.813;50.52
1130;29.79;15.478;10.59;-9.889;14.601;6.489;9.113;29.281;11.45;39.462;-37.708;-7.794;7.376;40.768;52.245
1140;26.109;15.705;5.998;-9.209;15.707;6.263;6.825;29.304;11.751;37.658;-34.995;-4.868;10.973;48.726;53.984
1150;22.439;16.306;5.497;-9.327;16.58;6.002;5.357;29.693;12.893;37.499;-33.376;-1.974;13.006;54.739;52.67
1160;16.247;17.152;5.073;-9.037;16.902;5.688;4.365;29.808;14.043;37.345;-32.377;0.492;14.452;60.153;51.367
1170;10.066;18.003;2.779;-8.995;16.664;5.816;2.757;29.797;15.202;37.195;-31.596;2.391;16.304;65.569;50.074
1180;3.437;18.605;0.294;-9.021;15.999;6.209;1.427;29.794;16.288;37.05;-30.285;4.434;16.597;71.214;50.191
1190;-3.183;18.176;-1.145;-8.185;15.796;7.115;0.325;30.079;17.309;36.909;-28.256;6.418;18.426;75.018;50.302
1200;-6.396;17.707;0.101;-7.898;16.688;7.622;-0.52;30.372;18.338;36.773;-27.096;8.329;20.176;76.698;50.422
1210;-9.592;15.928;-0.232;-7.048;18.264;8.024;-1.792;30.672;19.376;36.008;-26.064;10.04;21.584;78.376;50.552
1220;-11.773;13.983;-1.4;-6.171;18.82;9.075;-2.509;30.659;20.422;35.249;-23.415;11.247;22.163;80.139;51.091
1230;-14.767;11.651;-2.359;-4.492;19.46;9.288;-3.545;30.375;21.484;34.496;-19.872;11.943;22.713;81.898;51.672
1240;-17.91;9.329;-3.997;-2.825;19.019;9.938;-4.019;30.099;22.554;33.388;-17.988;12.808;22.129;83.653;52.26
1250;-20.197;6.988;-5.665;-0.324;18.097;10.798;-4.148;29.831;24.272;32.286;-14.804;14.131;21.466;85.404;50.417
1260;-22.474;5.858;-7.011;2.78;17.191;12.14;-4.923;28.851;25.912;31.189;-10.648;15.898;20.886;87.222;48.882
1270;-23.154;4.511;-8.607;5.818;16.15;13.106;-4.69;27.652;27.561;30.097;-7.85;17.651;11.932;89.394;47.35
1280;-23.823;3.138;-9.998;8.22;15.698;13.872;-4.606;26.459;29.218;29.011;-5.255;19.97;12.305;91.562;45.821
1290;-20.933;2.094;-11.436;10.693;15.648;14.639;-4.397;25.233;29.404;27.929;-2.765;21.573;11.82;93.734;44.455
1300;-18.03;2.78;-13.468;10.681;16.346;15.595;-3.974;24.258;29.724;28.892;1.744;22.784;11.709;95.181;43.175
1310;-12.594;3.444;-15.428;10.311;16.979;16.729;-4.212;23.286;30.05;29.822;6.613;24.11;10.759;98.104;41.896
1320;-10.719;2.678;-18.103;10.025;16.09;17.586;-4.615;22.798;30.382;30.758;11.008;26.361;9.846;101.022;40.619
1330;-7.109;1.921;-20.745;11.66;15.081;17.897;-4.983;22.314;29.793;31.699;15.621;28.119;9.755;103.857;41.544
1340;-3.058;0.919;-23.862;13.318;14.141;18.459;-5.871;22.117;29.209;32.924;19.599;29.548;8.981;104.088;42.471
1350;1.009;-0.712;-26.925;15.662;12.643;19.304;-6.196;21.923;28.63;34.155;23.487;30.868;7.931;104.317;43.401
1360;2.64;-2.059;-28.424;18.089;11.773;21.111;-5.703;21.774;27.377;35.39;25.931;32.436;5.771;104.543;42.654
1370;4.286;-2.798;-29.97;20.487;10.185;22.435;-4.904;21.475;26.278;36.63;27.77;34.007;3.024;102.819;42.08
1380;6.923;-3.367;-29.633;22.407;7.521;23.399;-3.851;21.182;25.183;37.874;29.369;34.907;1.796;100.61;41.506
1390;9.578;-6.252;-28.517;24.35;5.352;23.576;-4.734;21.294;24.09;39.123;30.867;35.518;0.583;98.395;40.932
1400;10.117;-8.839;-29.008;25.829;5.794;23.654;-5.339;21.092;22.306;38.618;33.708;35.736;0.51;96.147;41.395
1410;12.59;-10.546;-29.775;26.63;4.876;23.615;-5.261;20.895;20.52;38.119;37.571;36.276;0.404;94.494;41.857
1420;7.502;-16.414;-32.865;26.646;2.046;21.844;-7.08;16.85;16.806;35.246;36.058;35.542;-0.959;89.731;38.229
1430;2.614;-22.164;-34.555;27.277;-1.152;20.538;-8.974;13.321;13.731;31.892;34.178;34.97;-2.134;84.968;34.881
1440;-1.785;-26.674;-34.913;27.943;-2.07;19.181;-11.377;9.513;10.739;28.539;35.116;34.847;-3.328;79.971;31.341
1450;-3.819;-29.612;-38.032;28.81;-3.789;19.028;-14.168;5.705;7.748;25.186;37.32;35.065;-4.419;76.574;27.8
1460;-6.488;-30.95;-40.143;29.091;-6.799;19.586;-15.913;3.428;5.521;21.84;40.239;35.323;-5.794;74.101;25.714
1470;-8.521;-31.088;-41.255;29.628;-9.099;20.374;-17.641;1.47;3.492;18.494;42.005;34.974;-6.345;71.869;23.029
1480;-10.555;-29.226;-41.912;30.804;-9.548;20.763;-19.017;-0.487;1.463;15.148;43.098;34.804;-5.43;70.157;20.233
1490;-8.815;-26.73;-40.608;32.119;-7.783;19.392;-19.164;-1.172;-0.566;12.161;44.738;34.266;-2.916;67.406;17.437
1500;-7.076;-24.247;-38.981;32.29;-5.636;17.823;-19.221;-1.858;-2.35;9.175;46.072;33.343;-1.626;66.054;16.499
1510;-4.001;-22.284;-38.514;31.527;-4.468;16.073;-19.029;-1.823;-4.135;6.527;46.686;32.332;-0.454;64.702;15.706
1520;-1.087;-20.356;-37.952;30.844;-3.814;15.782;-20.694;-1.83;-5.92;6.272;47.418;31.328;-2.578;62.99;14.913
1530;2.172;-21.268;-37.226;29.714;-4.143;16.05;-21.626;-0.749;-7.201;5.857;47.652;30.189;-4.131;62.272;15.217
1540;3.874;-22.131;-36.549;28.819;-4.687;16.152;-21.161;0.372;-7.67;5.441;48.381;29.698;-3.768;61.553;14.44
1550;5.508;-24.194;-35.054;27.23;-6.037;15.554;-20.869;1.404;-8.139;5.026;47.568;29.674;-2.353;60.834;13.815
1560;5.726;-26.506;-33.434;26.091;-7.61;14.779;-20.705;2.497;-8.608;4.397;45.458;29.686;-0.239;60.121;13.19
1570;5.681;-26.658;-32.01;25.51;-7.622;14.164;-21.003;3.109;-9.181;3.768;43.606;28.841;1.779;59.705;12.786
1580;3.555;-26.237;-30.274;24.466;-7.611;14.01;-21.164;3.611;-8.633;3.139;40.935;27.212;1.91;59.288;12.168
1590;1.221;-25.817;-27.968;23.015;-6.6;13.884;-20.814;4.396;-8.086;2.23;36.906;26.018;2.451;59.44;11.55
1600;-2.15;-24.956;-23.865;19.924;-5.218;13.709;-20.339;4.341;-7.103;1.321;33.079;24.83;3.218;59.392;10.926
1610;-4.433;-24.412;-19.081;17.206;-6.583;12.887;-20.658;4.232;-5.601;0.192;30.375;24.014;4.535;59.488;10.461
1620;-8.436;-23.029;-13.123;14.731;-7.36;12.335;-20.921;4.123;-4.099;-1.288;28.193;22.65;5.819;59.626;9.968
1630;-12.298;-21.908;-8.654;10.196;-6.793;11.837;-20.941;4.106;-2.597;-2.768;26.106;21.753;6.294;60.244;9.476
1640;-16.16;-18.426;-5.646;5.323;-7.876;11.657;-20.197;3.807;-1.364;-4.248;24.006;20.891;6.23;59.978;9.266
1650;-20.029;-14.807;-2.589;3.309;-10.268;11.481;-20.339;3.508;-0.411;-5.728;21.923;20.63;6.234;59.774;10.154
1660;-23.898;-13.971;1.982;1.688;-11.265;11.623;-20.876;4.058;0.542;-6.891;19.083;19.895;7.291;59.57;11.043
1670;-25.207;-13.39;6.429;0.501;-11.957;11.79;-21.688;4.319;1.474;-8.054;16.403;19.527;8.029;57.326;11.883
1680;-26.516;-12.692;11.724;-0.611;-12.672;11.252;-21.903;4.179;2.007;-8.737;15.175;19.262;9.407;54.93;12.483
1690;-26.56;-10.555;16.971;-1.95;-14.679;10.367;-22.574;4.04;2.539;-9.419;12.372;18.908;11.513;52.534;12.772
1700;-28.484;-8.32;22.593;-2.641;-16.714;8.895;-23.246;3.803;3.058;-10.102;10.713;18.48;13.481;50.658;13.062
1710;-23.985;-5.846;28.546;-3.567;-17.099;6.92;-23.437;3.966;3.687;-10.323;10.069;17.931;14.884;47.73;13.365
1720;-20.046;-3.468;29.105;-3.532;-16.997;4.865;-23.615;4.128;3.996;-10.503;8.389;18.036;15.505;44.684;14.229
1730;-15.844;-3.21;29.284;-4.51;-18.097;3.217;-23.579;3.943;4.305;-10.684;6.186;17.658;15.585;41.639;15.099
1740;-16.618;-2.876;30.503;-6.247;-20.326;2.83;-23.739;3.439;4.441;-10.865;4.349;18.197;15.19;39.847;15.97
