timepoints (min);46: wc-2-.3
690;-151.178
700;-147.803
710;-145.067
720;-142.842
730;-134.51
740;-127.248
750;-120.883
760;-115.537
770;-110.781
780;-106.531
790;-102.718
800;-99.435
810;-96.44
820;-90.527
830;-84.603
840;-79.498
850;-74.386
860;-69.267
870;-64.14
880;-58.937
890;-53.722
900;-48.495
910;-41.657
920;-35.412
930;-29.144
940;-25.974
950;-22.171
960;-18.35
970;-14.513
980;-15.141
990;-16.513
1000;-17.876
1010;-18.67
1020;-19.457
1030;-19.576
1040;-19.698
1050;-19.143
1060;-14.831
1070;-10.413
1080;-6
1090;-0.672
1100;2.031
1110;4.737
1120;7.447
1130;9.839
1140;11.59
1150;13.348
1160;13.512
1170;13.681
1180;14.572
1190;15.467
1200;15.964
1210;17.344
1220;18.687
1230;20.034
1240;22.464
1250;26.062
1260;29.666
1270;33.275
1280;36.81
1290;41.418
1300;46.028
1310;46.88
1320;47.734
1330;49.017
1340;50.299
1350;53.779
1360;55.859
1370;57.632
1380;59.408
1390;61.628
1400;61.991
1410;62.357
1420;61.414
1430;59.91
1440;58.087
1450;56.546
1460;54.126
1470;51.705
1480;50.204
1490;48.731
1500;45.938
1510;43.145
1520;42.672
1530;42.061
1540;41.108
1550;39.314
1560;37.521
1570;35.687
1580;34.425
1590;31.843
1600;29.261
1610;27.968
1620;26.676
1630;22.903
1640;19.131
1650;17.101
1660;15.07
1670;12.56
1680;10.05
1690;7.646
1700;7.161
1710;6.677
1720;6.193
1730;4.748
1740;4.262
1750;3.777
1760;3.567
1770;1.472
1780;-1.383
1790;-4.239
1800;-6.185
1810;-8.483
1820;-10.581
1830;-12.679
1840;-13.643
1850;-14.145
1860;-14.647
1870;-15.149
1880;-13.157
1890;-12.166
1900;-10.767
1910;-8.72
1920;-6.193
1930;-4.906
1940;-3.626
1950;-4.646
1960;-5.665
1970;-4.964
1980;-4.319
1990;-4.709
2000;-5.219
2010;-5.73
2020;-6.04
2030;-5.494
2040;-4.948
2050;-6.041
2060;-7.135
2070;-8.429
2080;-9.723
2090;-11.177
2100;-13.299
2110;-15.422
2120;-17.545
2130;-18.868
2140;-18.804
2150;-18.741
2160;-18.677
2170;-18.374
2180;-17.127
2190;-15.88
2200;-14.633
2210;-13.548
2220;-14.341
2230;-15.134
2240;-15.927
2250;-16.804
2260;-17.495
2270;-18.186
2280;-18.877
2290;-19.303
2300;-18.034
2310;-16.766
2320;-15.497
2330;-13.509
2340;-11.217
2350;-8.924
2360;-6.632
2370;-6.459
2380;-7.087
2390;-7.728
2400;-8.514
2410;-7.261
2420;-6.247
2430;-5.537
2440;-5.054
2450;-2.611
2460;-0.248
2470;2.066
2480;3.953
2490;5.84
2500;5.247
2510;4.902
2520;4.474
2530;4.047
2540;3.339
2550;3.094
2560;2.848
2570;2.603
2580;2.117
2590;1.742
2600;1.367
2610;0.992
2620;1.977
2630;2.927
