timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
1020;-132.535;-89.135;-79.333;-150.857;-160.803;-161.872;-87.333;-105.64;-151.26;-92.966;-66.72;-159.689;80.672;-94.506;-71.966
1030;-120.811;-72.446;-63.913;-139.869;-154.015;-152.143;-81.106;-100.006;-139.43;-86.006;-61.981;-149.172;90.788;-80.143;-65.33
1040;-110.387;-56.56;-47.6;-129.613;-147.2;-143.373;-74.533;-94.413;-128.48;-79.68;-57.853;-139.133;100.733;-65.213;-53.28
1050;-101.112;-44.622;-34.668;-119.796;-136.941;-131.53;-68.704;-89.704;-118.928;-74.145;-53.082;-130.569;109.832;-49.803;-38.951
1060;-92.627;-33.325;-23.014;-113.825;-125.786;-118.12;-64.11;-84.94;-110.683;-69.586;-48.849;-122.857;120.001;-36.017;-24.066
1070;-83.415;-25.214;-14.402;-109.88;-114.205;-105.59;-60.145;-81.004;-103.423;-65.551;-45;-116.021;128.15;-24.526;-7.675
1080;-75.405;-19.179;-7.374;-104.191;-102.692;-95.524;-57.157;-77.5;-97.368;-61.968;-41.634;-109.961;132.075;-16.416;7.396
1090;-69.475;-13.175;1.075;-99.05;-90.337;-87.125;-54.512;-73.5;-91.9;-58.762;-38.85;-103.825;137.175;-6.15;23.275
1100;-64.118;-7.675;10.034;-93.026;-79.183;-78.439;-51.298;-69.984;-86.49;-54.947;-36.34;-98.414;141.455;3.302;36.379
1110;-57.503;-3.94;11.953;-87.487;-69.425;-71.941;-48.255;-66.197;-81.013;-51.487;-33.466;-92.838;145.492;12.928;50.155
1120;-50.62;-0.081;13.706;-78.938;-59.671;-65.73;-44.459;-63.078;-76.031;-47.676;-30.803;-87.74;148.86;19.255;61.576
1130;-44.06;3.732;13.583;-71.292;-49.577;-59.821;-41.173;-60.071;-71.131;-44.179;-28.857;-83.083;151.56;23.839;70.262
1140;-36.713;7.819;12.664;-63.442;-39.339;-54.268;-38.139;-57.24;-66.6;-40.866;-26.922;-78.414;153.369;28.685;79.066
1150;-10.55;28.36;32.874;-44.283;-17.153;-34.896;-27.51;-47.638;-50.501;-28.395;-18.519;-62.149;167.636;50.741;104.112
1160;15.684;47.691;52.685;-23.843;4.513;-14.492;-16.882;-37.768;-34.479;-16.08;-9.932;-44.798;181.234;72.177;129.385
1170;32.637;61.093;67.988;-9.529;22.551;2.275;-10.233;-29.763;-19.291;-7.885;-6.509;-29.379;187.54;89.681;148.745
1180;46.915;70.712;76.134;0.832;36.012;15.13;-3.62;-21.277;-3.983;0.26;-2.475;-13.99;192.017;103.257;166.876
1190;56.951;73.171;80.811;8.193;44.364;26.064;-0.809;-15.618;6.889;4.487;1.6;-3.958;194.867;111.407;180.976
1200;63.609;75.356;83.582;14.687;53.5;35.241;1.879;-9.957;17.486;8.271;6.083;6.056;195.015;118.245;195.075
1210;70.391;79.737;85.411;21.38;61.915;43.105;5.168;-5.54;21.4;11.055;8.847;12.434;193.734;122.855;208.69
1220;76.769;83.26;83.891;29.178;71.531;50.211;8.543;-1.939;23.84;14.103;11.771;18.013;191.35;127.03;215.23
1230;83.082;87.017;80.76;36.456;81.588;53.781;12.237;2.017;26.383;16.789;13.83;24.569;187.554;133.433;219.737
1240;89.139;89.24;78.587;41.669;90.661;56.821;16.162;5.583;27.008;19.842;15.693;30.924;182.507;138.855;221.208
1250;94.182;90.483;74.95;47.575;99.235;62.567;19.081;9.144;27.084;21.654;16.467;37.081;176.361;143.341;224.18
1260;96.414;91.07;71.318;52.476;110.41;68.652;22.035;11.923;26.53;23.547;16.366;41.081;170.225;147.909;228.462
1270;98.576;88.71;68.223;57.189;123.518;74.94;22.943;14.379;26.411;24.837;16.687;44.355;162.207;150.925;234.767
1280;101.409;84.965;67.777;62.061;137.063;79.983;23.703;16.755;26.549;26.105;17.725;48.003;153.939;151.447;241.067
1290;104.27;80.69;65.64;67.5;151.72;85.44;24.54;18.6;27.01;27.33;19.13;51.05;145.12;150.54;244.14
1300;107.417;79.871;65.966;73.996;164.01;88.672;25.374;20.884;27.475;28.326;19.849;54.018;136.276;147.592;245.312
1310;109.923;81.57;67.327;84.391;172.116;90.951;26.605;22.636;27.663;29.484;20.3;56.267;124.729;144.276;245.013
1320;111.815;84.834;69.721;96.762;181.608;94.624;27.959;24.709;27.992;30.566;20.634;58.537;113.704;141.214;241.819
1330;114.683;88.46;73.636;107.035;192.202;100.528;30.148;25.893;28.642;30.893;20.882;60.328;103.518;139.494;237.65
1340;119.697;92.975;75.08;117.204;202.227;107.194;32.712;26.718;29.819;31.318;21.575;61.61;91.11;134.651;230.642
1350;126.243;97.871;74.232;126.466;212.285;113.835;34.592;27.578;30.647;31.583;22.063;62.892;78.482;128.923;224.845
1360;131.33;104.259;77.933;135.746;223.947;122.387;35.964;28.073;30.437;31.849;21.753;63.775;65.338;122.022;215.512
1370;135.951;109.721;81.419;141.186;234.453;131.38;36.41;28.566;30.248;31.417;21.482;64.735;52.206;116.587;205.16
1380;139.539;115.156;86.359;146.842;241.67;139.268;36.135;28.733;29.461;30.989;21.581;65.616;39.09;112.186;194.92
1390;142.655;119.798;92.069;151.171;248.291;146.4;35.855;29.044;28.185;29.822;21.8;64.776;26.004;106.64;182.964
1400;144.276;122.636;95.808;155.459;254.129;154.011;35.653;29.992;27.033;28.658;22.956;63.932;13.143;100.804;169.745
1410;146.196;124.931;100.434;156.166;259.269;160.668;35.556;31.152;26.525;27.595;23.75;61.77;1.555;94.609;154.812
1420;148.041;126.411;105.058;157.972;265.655;166.099;35.816;32.309;26.32;26.535;24.512;59.101;-8.972;88.022;138.35
