timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
1020;-247.744;-131.784;96.534;-223.398;-97.068;-92.511;-90.828;-153.501;-180.712;-42.301;-111.268;-90.423;-46.957;-102.817;-196.623
1030;-237.149;-124.548;94.763;-213.797;-87.668;-87.533;-85.921;-145.245;-181.446;-43.27;-107.008;-83.983;-36.456;-94.633;-183.604
1040;-227.573;-117.827;91.24;-205.56;-80.16;-81.293;-82.587;-135.893;-182.16;-44.213;-103.347;-80;-27.693;-88.053;-172.413
1050;-219.211;-111.993;88.234;-194.102;-73.944;-74.921;-79.155;-127.444;-175.543;-45.132;-100.171;-74.513;-24.082;-82.283;-162.704
1060;-211.788;-107.908;84.643;-184.059;-68.517;-70.692;-76.226;-119.322;-169.768;-46.026;-92.277;-69.67;-24.011;-75.698;-154.942
1070;-205.342;-104.376;82.231;-175.179;-62.585;-67.91;-72.098;-111.936;-164.692;-45.124;-85.282;-63.479;-24.021;-69.868;-148.132
1080;-199.967;-102.723;80.124;-165.342;-57.273;-65.353;-69.161;-104.893;-160.204;-44.382;-79.045;-58.71;-22.895;-65.239;-142.122
1090;-194.975;-101.275;79.025;-156.538;-51.163;-62.438;-67.7;-97.337;-156.212;-43.775;-73.45;-55.225;-23.063;-61.487;-134.387
1100;-190.556;-100.171;78.063;-148.723;-45.69;-59.739;-64.848;-90.679;-152.374;-43.28;-65.263;-52.337;-23.279;-56.993;-127.466
1110;-185.795;-97.843;77.902;-141.681;-43.44;-57.596;-62.298;-85.926;-148.907;-42.686;-57.519;-49.741;-22.049;-52.917;-121.243
1120;-180.736;-95.782;74.155;-135.199;-41.481;-55.547;-58.961;-82.971;-142.023;-42.178;-50.443;-46.813;-20.698;-49.615;-116.053
1130;-176.125;-93.089;70.548;-129.262;-39.19;-53.804;-57.357;-80.071;-135.732;-41.744;-44.452;-44;-21.661;-47.071;-111.345
1140;-171.689;-90.113;66.616;-123.842;-36.087;-51.694;-57.052;-77.228;-129.962;-41.374;-38.936;-41.374;-22.273;-44.729;-107.059
1150;-149.818;-69.432;60.468;-114.034;-21.039;-39.939;-51.754;-61.776;-122.144;-40.207;-30.055;-24.002;-18.542;-27.272;-92.1
1160;-127.954;-48.737;59.355;-104.213;-5.821;-28.456;-46.442;-45.861;-114.318;-39.03;-21.185;-6.626;-13.547;-10.268;-77.125
1170;-114.729;-39.591;57.879;-94.64;4.309;-17.59;-39.731;-34.971;-106.679;-37.842;-14.206;0.965;-8.637;4.087;-62.135
1180;-101.686;-30.904;56.175;-84.848;14.463;-11.88;-32.343;-30.243;-99.029;-36.644;-7.124;4.421;-4.763;10.506;-47.197
1190;-92.889;-25.036;51.138;-75.038;22.109;-6.873;-26.649;-28.864;-90.969;-36.02;-0.056;6.844;-0.124;13.611;-38.524
1200;-84.102;-19.189;48.869;-64.676;29.748;-4.7;-24.065;-28.662;-82.898;-35.388;7.001;8.604;2.727;16.6;-29.836
1210;-77.882;-17.322;46.493;-54.297;32.046;-3.294;-21.467;-27.644;-74.818;-34.748;12.767;10.377;4.689;17.404;-21.134
1220;-72.743;-15.218;43.561;-43.652;33.201;-1.963;-20.455;-24.538;-66.729;-34.101;18.359;10.831;5.4;17.771;-16.479
1230;-67.746;-15.459;40.589;-32.196;33.193;-1.956;-19.543;-18.351;-58.63;-34.254;23.944;10.659;5.848;17.663;-11.809
1240;-64.164;-15.547;33.314;-20.739;31.339;-2.375;-18.716;-12.758;-50.712;-34.4;29.522;11.699;5.156;17.055;-7.126
1250;-60.307;-15.269;26.053;-9.71;29.488;-2.343;-18.24;-7.389;-42.781;-34.54;35.053;11.25;5.213;15.872;-3.288
1260;-57.192;-14.971;19.319;1.329;28.881;-1.22;-17.758;-2.993;-32.678;-34.674;40.618;10.806;5.392;15.421;0.563
1270;-54.317;-14.924;15.684;12.481;28.24;-0.088;-17.584;-0.407;-22.563;-34.1;43.416;9.458;7.222;14.932;4.424
1280;-51.316;-14.41;12.654;18.322;29.16;1.998;-17.432;0.55;-12.437;-33.522;46.206;9.617;2.11;14.256;6.867
1290;-48.42;-14.03;8.94;24.29;30.17;3.65;-17.09;0.64;-2.3;-32.94;48.51;11;-3.16;13.51;9.32
1300;-45.686;-13.669;5.22;26.944;30.744;3.839;-16.438;1.198;3.168;-32.355;50.728;10.764;-6.182;13.137;11.783
1310;-42.614;-13.034;1.358;29.603;30.46;4.836;-15.775;2.237;8.705;-30.057;49.46;10.529;-5.562;11.928;14.083
1320;-39.66;-12.976;-1.028;32.267;29.417;6.086;-15.742;3.233;14.251;-28.996;48.188;8.705;-6.038;10.858;16.389
1330;-36.125;-11.637;-3.675;32.696;28.29;6.726;-15.307;3.39;19.806;-27.933;46.07;7.772;-9.029;10.877;18.702
1340;-32.583;-9.922;-7.741;33.149;25.878;8.162;-13.825;2.99;25.69;-26.867;43.901;7.349;-11.213;10.966;18.32
1350;-28.975;-8.483;-11.805;33.046;23.914;9.621;-14.037;2.368;31.581;-25.104;39.088;6.546;-12.399;10.298;17.948
1360;-26.03;-7.143;-15.649;32.947;24.681;11.222;-14.247;3.861;37.481;-23.338;34.511;5.756;-13.841;10.579;17.584
1370;-23.896;-5.292;-16.3;33.726;25.455;10.985;-15.377;6.696;39.948;-21.568;29.931;4.83;-15.4;10.697;17.642
