T,kappa,frq,frq1,frq7,frq9,frq10,wc1,wc2
12,0.25,2,1,2,1,3,1.5,3
12,0.5,2,6,3,1,3,1.5,3
12,0.75,2,6,3,3,3,3,3
16,0.16,1.5,1,2,1,1.5,0,3
16,0.25,1.5,1,2,1,3,0,3
16,0.33,1.5,1,2,1,3,0,1.5
16,0.4,4,1,2,1,3,3,1.5
16,0.5,4,1,2,1,3,1.5,1.5
16,0.6,4,1,3,1,3,1.5,1.5
16,0.67,3,1,3,1,3,3,3
16,0.75,4,1,3,1,3,3,3
16,0.84,4,1.5,3,3,3,3,3
22,0.16,1,1.5,1,1,1,3,3.5
22,0.25,1,1.5,1,1,1,1.5,3
22,0.33,1,1.5,1,1,1,0,3
22,0.4,1,1.5,4,1,1,1,1.5
22,0.5,1,1.5,2,1,1,1.5,3
22,0.6,1,1.5,4,1,1,1.5,1.5
22,0.67,1,1,3.5,1,1.5,3,3
22,0.75,1,1.5,3,3,3,3,3
22,0.84,1,3,3.5,3,3,3,3
24,0.16,1,1,1,1,1.5,1,1
24,0.25,1,1,1,1,1.5,0,3
24,0.33,1,1,1,1,3,0,3
26,0.16,3,1,1,3,3,3,3
26,0.25,1,1.5,1,1.5,3,1.5,3
26,0.33,1,1.5,1,3.5,3,1.5,3
26,0.4,1,1,1,1,1,3,1
26,0.5,1,1,1,1,3,3,1.5
26,0.6,1,1,1,1,3,3,3
26,0.67,1,1.5,1,1,3,3,3
26,0.75,1,1.5,1,3,3,3,3
26,0.84,1.5,5,1.5,3,3,3,3
